iter,M,N,repetition,loss,med_percentage_error,intercept,slope,abs_perc_dev_bias,abs_perc_dev_weight,min_loss,max_loss,std_loss,P1_loss,P5_loss,P10_loss,P25_loss,P50_loss,P75_loss,P90_loss,P95_loss,P99_loss,min_med_percentage_error,max_med_percentage_error,std_med_percentage_error,P1_med_percentage_error,P5_med_percentage_error,P10_med_percentage_error,P25_med_percentage_error,P50_med_percentage_error,P75_med_percentage_error,P90_med_percentage_error,P95_med_percentage_error,P99_med_percentage_error,min_intercept,max_intercept,std_intercept,P1_intercept,P5_intercept,P10_intercept,P25_intercept,P50_intercept,P75_intercept,P90_intercept,P95_intercept,P99_intercept,min_slope,max_slope,std_slope,P1_slope,P5_slope,P10_slope,P25_slope,P50_slope,P75_slope,P90_slope,P95_slope,P99_slope,min_abs_perc_dev_bias,max_abs_perc_dev_bias,std_abs_perc_dev_bias,P1_abs_perc_dev_bias,P5_abs_perc_dev_bias,P10_abs_perc_dev_bias,P25_abs_perc_dev_bias,P50_abs_perc_dev_bias,P75_abs_perc_dev_bias,P90_abs_perc_dev_bias,P95_abs_perc_dev_bias,P99_abs_perc_dev_bias,min_abs_perc_dev_weight,max_abs_perc_dev_weight,std_abs_perc_dev_weight,P1_abs_perc_dev_weight,P5_abs_perc_dev_weight,P10_abs_perc_dev_weight,P25_abs_perc_dev_weight,P50_abs_perc_dev_weight,P75_abs_perc_dev_weight,P90_abs_perc_dev_weight,P95_abs_perc_dev_weight,P99_abs_perc_dev_weight,optimizer,sigma_e,Sobol,user_scheduler,gamma_scheduler,lr
0,2.0,100.0,24.019607843137255,1.9113037087409133,61.94714,2.0,2.0,323.18692,200.0,1.385963556674779,1.997194468176141,0.11572943942391646,1.5063249391404967,1.713761248207101,1.8042781084748432,1.860074852791285,1.9655200560290567,1.9847810674585735,1.9963400851127187,1.99659480657772,1.9971001262452288,61.88768,61.97151,0.019777938466367755,61.90269470214844,61.91826629638672,61.92031478881836,61.93109130859375,61.952178955078125,61.9630126953125,61.970863342285156,61.970985412597656,61.97142791748047,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,323.18692,323.18692,0.0,323.1869201660156,323.1869201660156,323.1869201660156,323.1869201660156,323.1869201660156,323.1869201660156,323.1869201660156,323.1869201660156,323.1869201660156,200.0,200.0,0.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,SGD,0.5,False,False,0.95,0.1
10,2.0,100.0,24.019607843137255,1.833032146614751,61.207478,1.6468636171490538,1.6969415346781414,248.46558,169.69415346781412,1.3954736853578371,1.9971755468720829,0.17562170857783657,1.4106592386961287,1.4599665469261787,1.57148410494634,1.746304225746706,1.9016584536714698,1.970448452377573,1.9889241736080405,1.994687149567512,1.9969669719364211,60.37729,61.67256,0.32556789976918366,60.41548538208008,60.56535339355469,60.75708770751953,61.01750564575195,61.24439239501953,61.48729705810547,61.57102966308594,61.583282470703125,61.639434814453125,1.4306693077087402,1.8006483316421509,0.09768778366128136,1.431667685508728,1.4738220572471619,1.5106788873672485,1.5845694541931152,1.653590202331543,1.733296275138855,1.7588382959365845,1.783416509628296,1.7995376586914062,1.4800297021865845,1.8153260946273804,0.08022636072848226,1.5159052014350891,1.5636214017868042,1.5921831130981445,1.6478815078735352,1.7127124071121216,1.7541852593421936,1.7974125146865845,1.8017586469650269,1.8107820749282837,202.72026,281.0054,20.670096660320777,202.93151092529297,211.85110473632812,219.64976501464844,235.28453063964844,249.8888702392578,266.754150390625,272.15869140625,277.35926818847656,280.77040100097656,148.00297021865845,181.53260946273804,8.022636072848229,151.5905201435089,156.36214017868042,159.21831130981445,164.78815078735352,171.27124071121216,175.41852593421936,179.74125146865845,180.17586469650269,181.07820749282837,SGD,0.5,False,False,0.95,0.1
20,2.0,100.0,24.019607843137255,1.5805664581356231,50.229282,1.1088084835632175,1.026315321378848,134.61662,102.63153213788482,0.41633502358197066,1.98673384432322,0.3157793723376091,0.6126609709775388,0.9391672394485229,1.1920300460971358,1.4800633643856393,1.6390434271300034,1.8118744901684676,1.8948336959575909,1.9310615944304281,1.9846643574365368,12.037151,59.982605,11.35527298449206,13.757368564605713,26.553410530090332,33.34901428222656,48.7194766998291,54.87268829345703,57.307064056396484,58.69294357299805,59.165212631225586,59.690521240234375,0.7040972113609314,1.470007061958313,0.1798133946280375,0.7264112532138824,0.7892759442329407,0.8263187408447266,1.0140446722507477,1.1412403583526611,1.2414302825927734,1.291648030281067,1.3401163220405579,1.4163714051246643,0.11262350529432297,1.3943368196487427,0.2789965119519402,0.22405585274100304,0.5196885317564011,0.6302186846733093,0.902785986661911,1.0903574228286743,1.2171183824539185,1.3282114267349243,1.3559143543243408,1.3830265402793884,48.98237,211.04388,38.04733895161835,53.70387268066406,67.0056324005127,74.84364318847656,114.56522369384766,141.47900390625,162.67853546142578,173.30429077148438,183.55985260009766,199.69493103027344,11.262350529432297,139.43368196487427,27.899651195194014,22.405585274100304,51.968853175640106,63.02186846733093,90.2785986661911,109.03574228286743,121.71183824539185,132.82114267349243,135.59143543243408,138.30265402793884,SGD,0.5,False,False,0.95,0.1
30,2.0,100.0,24.019607843137255,0.07039229125781994,3.1254506,0.6306167092977786,-0.04059074820229309,33.887222,4.918697785686556,0.004132800439154359,0.5349089336431574,0.08434499527715077,0.004573157514474907,0.00880562701509466,0.015041684121134456,0.02549161029180021,0.05004501328234611,0.08773701671488775,0.10512557093043426,0.1622959843280532,0.4197374996838468,0.19375299,8.293481,2.1063820239282847,0.21068862825632095,0.40864476561546326,0.8261491060256958,1.6005222797393799,2.6253890991210938,4.156312465667725,6.716753959655762,7.5670483112335205,7.997190713882446,0.42759788036346436,0.7999924421310425,0.08766339451745231,0.44531698524951935,0.48635824024677277,0.5033938884735107,0.5731742084026337,0.6366091370582581,0.6902488172054291,0.736089825630188,0.762420654296875,0.7887401580810547,-0.15553493797779083,0.1858391910791397,0.04869241064841963,-0.13769426941871643,-0.11605320498347282,-0.0877007469534874,-0.06620995700359344,-0.0383293479681015,-0.01997392810881138,-0.004547851625829935,0.009614480193704367,0.09931127820163965,2.0245905,69.27317,17.69093329619496,2.352636933326721,3.415515661239624,8.381172180175781,21.279915809631348,34.70233154296875,46.0521354675293,55.751792907714844,61.323225021362305,66.89226150512695,0.1352339400909841,18.58391910791397,3.9796556442274107,0.2950095513369888,0.5345577839761972,0.8536358363926411,2.317788079380989,3.949712961912155,7.046627253293991,9.105569869279861,11.95303089916706,17.068706452846527,SGD,0.5,False,False,0.95,0.1
40,2.0,100.0,24.019607843137255,0.04467413626365859,2.3216658,0.5999687454279732,-0.03646842796611143,27.346035,3.6843763536536227,0.0014770659624996373,0.11861978091907417,0.030334462445754915,0.00249554190509023,0.005713373385787035,0.010651455536070494,0.01944184703108786,0.03674996113562232,0.060625783849316564,0.08669026095869188,0.1038697334383188,0.11355979563711666,0.14523098,6.587434,1.402877293838977,0.1688372790813446,0.31062373518943787,0.6952998042106628,1.226303219795227,2.026676654815674,3.28277325630188,4.029687881469727,4.3676252365112305,5.957387447357178,0.4321531355381012,0.7336269617080688,0.06983653634514657,0.44870808720588684,0.48607462644577026,0.5001636147499084,0.5529173612594604,0.6052038073539734,0.6503686308860779,0.679827094078064,0.704562783241272,0.7224692106246948,-0.08927478641271591,0.0071028764359653,0.021649873125817832,-0.08423023670911789,-0.0701233334839344,-0.06298904865980148,-0.05230947211384773,-0.03475217893719673,-0.022611682303249836,-0.008270496502518654,-0.0031339266570284963,0.004785528522916138,1.5533828,55.23067,14.01412264889591,1.9489282965660095,4.259441137313843,6.135122299194336,16.993698120117188,28.057170867919922,37.61375045776367,43.84696960449219,49.08087730407715,52.86976432800293,0.2343636704608798,8.927478641271591,2.099166500501893,0.24059086572378874,0.5144716240465641,0.8270496502518654,2.2611682303249836,3.475217893719673,5.230947211384773,6.298904865980148,7.01233334839344,8.423023670911789,SGD,0.5,False,False,0.95,0.1
50,2.0,100.0,24.019607843137255,0.03249645867536948,1.725906,0.577482612694011,-0.027363885086778478,22.496841,2.77396088908883,0.0032277525322711833,0.09134968429738204,0.025121098616728378,0.0034636194276355713,0.004230632680547724,0.005647365558564407,0.014012835994508033,0.024654948850740318,0.046610122715996814,0.07469855678089295,0.08421261702439192,0.09077588386087437,0.11755739,5.1928363,1.0197399465242007,0.11946195736527443,0.2359514832496643,0.3247518241405487,0.9748358130455017,1.7637633085250854,2.319654703140259,3.044447422027588,3.253570079803467,4.303070068359375,0.441928505897522,0.6735239028930664,0.056761086994436515,0.45420823991298676,0.48400765657424927,0.494600385427475,0.5434222519397736,0.5856767296791077,0.618739902973175,0.6568017601966858,0.6640306711196899,0.6718980669975281,-0.06544427573680878,0.006837021559476852,0.017697729296851483,-0.062260400503873825,-0.05886223539710045,-0.05313659831881523,-0.038351116701960564,-0.02584928646683693,-0.01396757597103715,-0.006834975443780422,-0.001245087943971157,0.0047904785024002194,1.2941946,42.513256,11.416247986978831,1.576532006263733,3.5841972827911377,5.644687652587891,14.984594821929932,23.92536735534668,30.921317100524902,38.97496032714844,40.504547119140625,42.16923904418945,0.1165768364444375,6.544427573680878,1.7090694953689363,0.12450879439711571,0.23475613561458886,0.6837021559476852,1.396757597103715,2.584928646683693,3.8351116701960564,5.313659831881523,5.886223539710045,6.2260400503873825,SGD,0.5,False,False,0.95,0.1
60,2.0,100.0,24.019607843137255,0.029667635149934504,1.4657565,0.5592935272291595,-0.024591391769183034,18.601368,2.4881288126184073,0.0005804312917124117,0.07715023919911025,0.020045471312439177,0.0013313981795495754,0.003283733277123524,0.005917393208185419,0.014690505901788574,0.024802412985724498,0.04065036539567775,0.054767722230471834,0.07120859747176092,0.0767647716277333,0.10157825,3.8958414,0.8725402004532028,0.11566608399152756,0.1991555243730545,0.3330889642238617,0.9080384075641632,1.3646669387817383,1.9254786372184753,2.3105649948120117,3.2514829635620117,3.754242777824402,0.4469861388206482,0.6397906541824341,0.047126451733914915,0.45702703297138214,0.4811902195215225,0.4917938709259033,0.5331832468509674,0.564272403717041,0.5904940366744995,0.6237966418266296,0.6318846046924591,0.637275367975235,-0.07076440006494522,0.006213078740984201,0.01682825140150753,-0.0636419951915741,-0.05100451409816742,-0.04616231098771095,-0.03703749738633633,-0.021539509296417236,-0.011645270511507988,-0.005670861806720495,-0.002821877133101225,0.003696178551763296,1.1714802,35.37552,9.470592987239058,1.3013044595718384,2.9962785243988037,4.243045806884766,12.818089008331299,19.396350860595703,24.94467830657959,31.991291046142578,33.70265007019043,34.84330177307129,0.11792783625423908,7.076440006494522,1.6387838678914908,0.17673691036179662,0.411112850997597,0.6166486069560051,1.1645270511507988,2.1539509296417236,3.7037497386336327,4.616231098771095,5.100451409816742,6.36419951915741,SGD,0.5,False,False,0.95,0.1
70,2.0,100.0,24.019607843137255,0.02370383007269936,1.2694615,0.5434587258918613,-0.0203227274001156,15.219399,2.056972480689486,0.0024241881511290852,0.05893651128705176,0.016919890535859433,0.002462886024262598,0.0025927825127178665,0.002855402830619688,0.009007857573066887,0.021974558218124336,0.03520595339438508,0.04909149666112556,0.055149035666082806,0.05841048622787673,0.059231874,4.3244476,0.8793613378649235,0.06857808120548725,0.2197888121008873,0.2924068868160248,0.6828293800354004,1.0416083335876465,1.6481988430023193,2.5699543952941895,2.8343043327331543,3.9449492692947388,0.45011553168296814,0.6056369543075562,0.038894641637498874,0.45892083644866943,0.4796011298894882,0.48827677965164185,0.5192792415618896,0.5529990196228027,0.5722621381282806,0.599094808101654,0.602223813533783,0.6046776175498962,-0.04413438215851784,0.005008948966860771,0.011518082718475025,-0.04246055148541927,-0.03971867263317108,-0.037503741681575775,-0.027597052976489067,-0.020936308428645134,-0.013064811937510967,-0.003970846068114042,-0.0021788691519759595,0.0031492169364355505,1.0322064,28.14882,7.793111177615988,1.11346834897995,2.4736421704292297,3.3551137447357178,9.876092433929443,17.01097869873047,21.08692741394043,26.764545440673828,27.426620483398438,27.945831298828125,0.12894849060103297,4.413438215851784,1.1061821426176486,0.1572823617607355,0.27990180533379316,0.4304658155888319,1.3064811937510967,2.0936308428645134,2.7597052976489067,3.7503741681575775,3.971867263317108,4.246055148541927,SGD,0.5,False,False,0.95,0.1
80,2.0,100.0,24.019607843137255,0.020327006179567283,1.0079913,0.5312434265426561,-0.015969839249509295,12.588717,1.615145641684934,0.000665321558838619,0.056912090222176685,0.013808698969088611,0.0009793435422582328,0.0024912156734164456,0.005363182010246054,0.009374340443440123,0.018483793507588987,0.02917718250601429,0.04023874025367276,0.04469570592384212,0.05357863808543101,0.06583992,1.9813133,0.5284220319555515,0.0738149844110012,0.13381324708461761,0.29352542757987976,0.6084469556808472,0.9870648384094238,1.4230555891990662,1.7414640188217163,1.8486658334732056,1.9622514247894287,0.4548226594924927,0.5874192714691162,0.03214429620512515,0.4616929739713669,0.4783211499452591,0.4860996603965759,0.5137394666671753,0.5377259254455566,0.5521499812602997,0.5747657418251038,0.5811871290206909,0.5862031579017639,-0.0399063415825367,0.004013205878436565,0.009960139970037791,-0.03805204667150974,-0.03182652033865452,-0.03068661503493786,-0.021947364322841167,-0.0141495605930686,-0.010991163086146116,-0.004145138897001743,-0.0015585016226395965,0.0023156188835855573,0.8550715,24.294077,6.453202088215635,0.9229931533336639,2.003147065639496,2.980772018432617,8.703912734985352,13.779290199279785,16.831326484680176,21.61667251586914,22.97539710998535,24.036755561828613,0.06180318887345493,3.9906341582536697,0.9656807646314799,0.09826280002016574,0.20330005208961666,0.41451388970017433,1.0991163086146116,1.41495605930686,2.1947364322841167,3.068661503493786,3.182652033865452,3.8052046671509743,SGD,0.5,False,False,0.95,0.1
90,2.0,100.0,24.019607843137255,0.015522475481539594,0.83113587,0.5210597380703571,-0.012954430573610771,10.404493,1.3137466747852444,0.00096879259023641,0.0405408179048643,0.010262639888088124,0.001169921231877548,0.001963629833277532,0.004207378927485467,0.007276807007512739,0.012695775573794647,0.02210729265457274,0.029504703438040968,0.03169188136650154,0.04047169434727396,0.038393058,2.0743728,0.42125245180002985,0.04733048379421234,0.11848019808530807,0.22756755352020264,0.5746960639953613,0.8349375128746033,1.085992693901062,1.2235606908798218,1.467531144618988,1.8710641264915466,0.45740845799446106,0.5683947205543518,0.02656009593674639,0.4634658545255661,0.47746486961841583,0.4836249053478241,0.5061156451702118,0.5267905592918396,0.5408204793930054,0.5544940233230591,0.5611609518527985,0.5662987232208252,-0.03601968660950661,0.0038677090778946877,0.008636906633517002,-0.033773668110370636,-0.028026536107063293,-0.023139970377087593,-0.01884050015360117,-0.011648300103843212,-0.006580761633813381,-0.0030289527494460344,-0.001475979690439999,0.002333711221581325,0.6519497,20.268608,5.328060154127771,0.7638524174690247,1.5907520055770874,2.4604532718658447,7.090761423110962,11.465438842773438,14.434077262878418,17.32731056213379,18.73798942565918,19.825108528137207,0.07997133652679622,3.6019686609506607,0.8350142508387166,0.10394825658295304,0.18971782992593944,0.3307655919343233,0.6580761633813381,1.1648300103843212,1.884050015360117,2.3139970377087593,2.8026536107063293,3.3773668110370636,SGD,0.5,False,False,0.95,0.1
