iter,M,N,repetition,loss,med_percentage_error,min_loss,max_loss,std_loss,P1_loss,P5_loss,P10_loss,P25_loss,P50_loss,P75_loss,P90_loss,P95_loss,P99_loss,min_med_percentage_error,max_med_percentage_error,std_med_percentage_error,P1_med_percentage_error,P5_med_percentage_error,P10_med_percentage_error,P25_med_percentage_error,P50_med_percentage_error,P75_med_percentage_error,P90_med_percentage_error,P95_med_percentage_error,P99_med_percentage_error,optimizer,sigma_e,Sobol,user_scheduler,gamma_scheduler,lr
0,100.0,2.0,4.090909090909091,0.45436339781164087,0.047616307,0.4078508892479411,0.5007746179769386,0.03158285457340743,0.40970567164748845,0.41712480124567786,0.42639871324341455,0.42749351094992877,0.4548785709430676,0.4768217668782974,0.49580537118791423,0.4982899945824264,0.5002776932980362,0.047587097,0.047646493,1.9353599037931454e-05,0.04758831858634949,0.04759320616722107,0.04759931564331055,0.04760219156742096,0.047611117362976074,0.047628700733184814,0.04764208197593689,0.04764428734779358,0.04764605164527893,Adam,0.5,False,False,0.95,0.001
100,100.0,2.0,4.090909090909091,0.1376698836969872,0.089431904,0.11628401085718983,0.16095037825454936,0.015556028823364357,0.11670817982406696,0.11840485569157552,0.12052570052596123,0.12497275728262394,0.13498539903060014,0.14985013419146254,0.15475137384032858,0.15785087604743897,0.1603304778131273,0.0844354,0.09391791,0.0026996897910863977,0.08461251258850097,0.08532094955444336,0.08620649576187134,0.08834517002105713,0.08938407897949219,0.09135282039642334,0.09203946590423584,0.09297868609428406,0.09373006224632263,Adam,0.5,False,False,0.95,0.001
200,100.0,2.0,4.090909090909091,0.11654218768597319,0.07984678,0.09782584722389917,0.13678894284669219,0.012076219713569702,0.09824203164935695,0.0999067693511881,0.10198769147847703,0.10766605800462818,0.11739360645447684,0.12267047223085523,0.13065388187952995,0.13372141236311108,0.13617543674997595,0.07621127,0.08420551,0.0022326966240267744,0.07637067437171936,0.07700827717781067,0.0778052806854248,0.07879233360290527,0.07957315444946289,0.0807749330997467,0.08275294303894043,0.08347922563552856,0.08406025171279907,Adam,0.5,False,False,0.95,0.001
300,100.0,2.0,4.090909090909091,0.10208753603707327,0.060318884,0.0870788116465653,0.11607477080464047,0.010986146513469446,0.08731450025344097,0.08825725468094364,0.089435697715322,0.09362899401680236,0.09924011413467233,0.1114460648225641,0.11477353599787676,0.11542415340125861,0.1159446473239641,0.05719906,0.064073384,0.002116076556713682,0.05730447769165039,0.057726144790649414,0.05825322866439819,0.05954045057296753,0.05973398685455322,0.06133067607879639,0.06315481662750244,0.06361410021781921,0.06398152709007263,Adam,0.5,False,False,0.95,0.001
400,100.0,2.0,4.090909090909091,0.09421137016649471,0.039564308,0.08086510974247997,0.11061087666351826,0.010617735724114476,0.08098798525901926,0.08147948732517646,0.08209386490787296,0.08496604818933687,0.09113749624905534,0.10097891849933063,0.10830074926019854,0.10945581296185841,0.1103798639231863,0.036347598,0.042823136,0.0019479306613019527,0.03645838797092438,0.03690154850482941,0.03745549917221069,0.038304686546325684,0.03912210464477539,0.04098355770111084,0.04130208492279053,0.042062610387802124,0.0426710307598114,Adam,0.5,False,False,0.95,0.001
500,100.0,2.0,4.090909090909091,0.0780896957075046,0.031115798,0.07079664415571488,0.09117535442293083,0.00702786847865862,0.07089398162994315,0.0712833315268562,0.07177001889799753,0.07323816223264576,0.07451582731066304,0.08282474883961785,0.08772310610895895,0.0894492302659449,0.09083012959153364,0.029320449,0.03185162,0.0007070132308173141,0.02943533957004547,0.029894903302192688,0.03046935796737671,0.03099973499774933,0.03137126564979553,0.03149963915348053,0.03167593479156494,0.03176377713680267,0.03183405101299286,Adam,0.5,False,False,0.95,0.001
600,100.0,2.0,4.090909090909091,0.07225873735174203,0.02768412,0.056090482554200925,0.08109094773854973,0.007179588403916862,0.056842658571108776,0.05985136263874016,0.0636122427232794,0.06992767855257984,0.0751710456234667,0.0762484025445871,0.07711081251294401,0.07910088012574687,0.08069293421598916,0.01859951,0.030955166,0.004118472585609017,0.018995591998100282,0.02057991921901703,0.022560328245162964,0.02631896734237671,0.02989223599433899,0.030001699924468994,0.03033047914505005,0.03064282238483429,0.030892696976661683,Adam,0.5,False,False,0.95,0.001
700,100.0,2.0,4.090909090909091,0.05699065556746063,0.020822912,0.0483323751324973,0.06226654895936939,0.00432497922820047,0.04878850039276134,0.05061300143381751,0.05289362773513771,0.053481725987278524,0.05889099344392326,0.059771483358836947,0.06124017994360739,0.06175336445148839,0.06216391205779319,0.011137843,0.025175959,0.00529697052186218,0.011367431282997132,0.012285783886909485,0.013433724641799927,0.017689064145088196,0.023056477308273315,0.024637281894683838,0.024780333042144775,0.024978145956993103,0.025136396288871765,Adam,0.5,False,False,0.95,0.001
800,100.0,2.0,4.090909090909091,0.04966376434182593,0.015271363,0.03316383631890836,0.07798713798840942,0.011059179800044025,0.03387088751348791,0.03669909229180611,0.04023434826470385,0.0456640581669948,0.04913773131682429,0.05195957046556916,0.052263537730176654,0.06512533785929303,0.07541477796258615,0.011671692,0.018322706,0.0025984487471107007,0.01171320378780365,0.011879250407218933,0.012086808681488037,0.012500733137130737,0.016317903995513916,0.017560943961143494,0.017884820699691772,0.018103763461112976,0.018278917670249938,Adam,0.5,False,False,0.95,0.001
900,100.0,2.0,4.090909090909091,0.03765905229248375,0.012518124,0.030159369074834526,0.04462243394225777,0.005079511047454036,0.030357758106685378,0.031151314234088786,0.032143259393343046,0.034776732378753845,0.03553111505126321,0.041694726067636065,0.04451660116082078,0.044569517551539276,0.04461185066411407,0.011215955,0.013518214,0.000704317832696576,0.011269325017929077,0.011482805013656616,0.01174965500831604,0.0121554434299469,0.012618452310562134,0.012932375073432922,0.013478338718414307,0.013498276472091675,0.01351422667503357,Adam,0.5,False,False,0.95,0.001
