M,N,repetition,iter,loss,med_percentage_error
100,2,0,0,0.42749351094992877,0.0476287
100,2,0,100,0.14985013419146254,0.08883488
100,2,0,200,0.11739360645447684,0.07885343
100,2,0,300,0.09362899401680236,0.05954045
100,2,0,400,0.08209386490787296,0.040751696
100,2,0,500,0.07331657764451975,0.031371266
100,2,0,600,0.0762484025445871,0.029892236
100,2,0,700,0.05289362773513771,0.024637282
100,2,0,800,0.052263537730176654,0.01788482
100,2,0,900,0.03890243757673084,0.012618452
100,2,0,1000,0.031312875526283625,0.010827422
100,2,0,1100,0.029328838435802605,0.011149049
100,2,0,1200,0.03120121836472273,0.010922134
100,2,0,1300,0.023806329729837268,0.010782719
100,2,0,1400,0.019829880294735397,0.010917753
100,2,0,1500,0.021460917248645166,0.011026859
100,2,0,1600,0.02001657405969934,0.010855526
100,2,0,1700,0.01750874902281384,0.010623604
100,2,0,1800,0.014839054685778176,0.010339886
100,2,0,1900,0.022173950253777545,0.010155916
100,2,0,2000,0.017419130781144106,0.009727359
100,2,0,2100,0.019214320753044408,0.009164631
100,2,0,2200,0.016204440656295883,0.008691758
100,2,0,2300,0.017222326085122235,0.008148789
100,2,0,2400,0.015399864825952889,0.007385224
100,2,0,2500,0.014565377387177668,0.00684011
100,2,0,2600,0.018085413355163397,0.006142676
100,2,0,2700,0.012770144516780999,0.005924791
100,2,0,2800,0.017034612541612634,0.0058271885
100,2,0,2900,0.012833346348664537,0.005302906
100,2,0,3000,0.01597740126689636,0.0050189495
100,2,0,3100,0.013152184422969357,0.005103439
100,2,0,3200,0.015031962084811818,0.00487864
100,2,0,3300,0.012678201886774714,0.004536301
100,2,0,3400,0.015063094759481324,0.004728079
100,2,0,3500,0.013160556294797147,0.0044966936
100,2,0,3600,0.011653488701332877,0.0043577254
100,2,0,3700,0.014546026922857705,0.0045599043
100,2,0,3800,0.014003425808370345,0.004319072
100,2,0,3900,0.010578368742286749,0.0040115416
100,2,0,4000,0.013375866481106342,0.0039551854
100,2,0,4100,0.008997786934884918,0.0041756034
100,2,0,4200,0.014279696961892144,0.0041204095
100,2,0,4300,0.011148331203401708,0.003876388
100,2,0,4400,0.013643939245429256,0.00421077
100,2,0,4500,0.010109592992955179,0.003859222
100,2,0,4600,0.010794758848692016,0.0037370622
100,2,0,4700,0.01298651201434526,0.003872931
100,2,0,4800,0.013762617827478648,0.0039910674
100,2,0,4900,0.012487707342859216,0.0037210584
100,2,0,5000,0.01467162621438762,0.0038102865
100,2,0,5100,0.011972233957743326,0.0036922097
100,2,0,5200,0.012294189908173674,0.004001528
100,2,0,5300,0.009423111483151553,0.0037027895
100,2,0,5400,0.010072739732371652,0.0036506355
100,2,0,5500,0.014977649910919499,0.0034407675
100,2,0,5600,0.01014614746146614,0.0034478009
100,2,0,5700,0.010823230615663182,0.0034121275
100,2,0,5800,0.0073679838338617035,0.0035330057
100,2,0,5900,0.010134511330131187,0.0034874678
100,2,0,6000,0.013465266443321001,0.0035730898
100,2,0,6100,0.01350634980586987,0.0034115314
100,2,0,6200,0.012144738041119318,0.0032103658
100,2,0,6300,0.009976448970172424,0.0035907626
100,2,0,6400,0.012419571114624777,0.0033470988
100,2,0,6500,0.012027663651985338,0.0032215416
100,2,0,6600,0.009039863502303496,0.0032141507
100,2,0,6700,0.009061749320987283,0.0032252073
100,2,0,6800,0.009506393969959535,0.0034937263
100,2,0,6900,0.010823592282150213,0.0030867755
100,2,0,7000,0.009298446458849231,0.0034424663
100,2,0,7100,0.00564495770563919,0.0036722422
100,2,0,7200,0.009770104751680424,0.003344059
100,2,0,7300,0.008774777648607191,0.0034246743
100,2,0,7400,0.010749975951881388,0.0032652318
100,2,0,7500,0.010256478861110528,0.0033731163
100,2,0,7600,0.00885832297450483,0.00321275
100,2,0,7700,0.009982535057129687,0.0030142963
100,2,0,7800,0.010525414437919014,0.0029395223
100,2,0,7900,0.0070427323791699605,0.0031113625
100,2,0,8000,0.0055424564803569455,0.002883315
100,2,0,8100,0.011555331325028157,0.002939254
100,2,0,8200,0.008624122770947098,0.0031091273
100,2,0,8300,0.009897955968895063,0.0032084584
100,2,0,8400,0.011185942628103046,0.0029502213
100,2,0,8500,0.009636767932718403,0.0029154122
100,2,0,8600,0.003876676008110481,0.0028332472
100,2,0,8700,0.0006737936830011122,0.0028185546
100,2,0,8800,0.007379713029133789,0.0027421415
100,2,0,8900,0.005522772842011477,0.0028465688
100,2,0,9000,0.008693741935948462,0.002564162
100,2,0,9100,0.006534132410699243,0.0027894378
100,2,0,9200,0.009379759588628616,0.0025338233
100,2,0,9300,0.007137876321070647,0.0025737882
100,2,0,9400,0.008742606218141692,0.0027310848
100,2,0,9500,0.0022204307173722244,0.0024317503
100,2,0,9600,0.005425893628566344,0.0025858283
100,2,0,9700,0.007444320138944911,0.0024968088
100,2,0,9800,0.004925539413791954,0.0024499893
100,2,0,9900,0.0080532903279851,0.0024579465
