iter,M,N,repetition,loss,med_percentage_error,min_loss,max_loss,std_loss,P1_loss,P5_loss,P10_loss,P25_loss,P50_loss,P75_loss,P90_loss,P95_loss,P99_loss,min_med_percentage_error,max_med_percentage_error,std_med_percentage_error,P1_med_percentage_error,P5_med_percentage_error,P10_med_percentage_error,P25_med_percentage_error,P50_med_percentage_error,P75_med_percentage_error,P90_med_percentage_error,P95_med_percentage_error,P99_med_percentage_error,optimizer,sigma_e,Sobol,user_scheduler,gamma_scheduler,lr
0,2.0,100.0,4.090909090909091,0.37006090454779006,0.047460273,0.13245145022976096,0.6514299353898081,0.15467863537279053,0.1346951826300595,0.14367011223125373,0.1548887742327465,0.28704377830531347,0.38745917135921226,0.46788729418174785,0.517433952548845,0.5844319439693266,0.6380303371057119,0.047266066,0.04787302,0.0001939020338587895,0.04727022051811218,0.04728683829307556,0.047307610511779785,0.04733836650848389,0.04737818241119385,0.04750290513038635,0.04776674509048462,0.04781988263130188,0.047862392663955686,Adam,0.5,False,False,0.95,0.001
100,2.0,100.0,4.090909090909091,0.11912688167278723,0.05682355,0.031363413688820944,0.3072184567070295,0.07767449189515559,0.035169227063563575,0.05039248056253409,0.06942154743624725,0.0790023405932597,0.09287560509154719,0.11676028297651539,0.21773342226803447,0.262475939487532,0.29826995326313005,0.051989913,0.06223148,0.002972817128192136,0.052067553997039794,0.05237811803817749,0.05276632308959961,0.05486920475959778,0.05754166841506958,0.05833271145820618,0.059009671211242676,0.06062057614326477,0.06190930008888245,Adam,0.5,False,False,0.95,0.001
200,2.0,100.0,4.090909090909091,0.1157106655698879,0.07448168,0.031298138377285824,0.3728456803462827,0.09447809412811645,0.032601404042323465,0.037814466702474014,0.044330795027662205,0.05927929230590161,0.08484185302749378,0.13460749731116517,0.15723437532714735,0.265040027836715,0.3512845498443692,0.067655146,0.08448312,0.005697440171146367,0.06769601702690124,0.06785950064659119,0.06806385517120361,0.07083040475845337,0.07225120067596436,0.07758668065071106,0.08327996730804443,0.08388154208660126,0.08436280190944671,Adam,0.5,False,False,0.95,0.001
300,2.0,100.0,4.090909090909091,0.12452199714461266,0.08436999,0.05842102141967009,0.21081975900415859,0.04618441573758084,0.05842102141967009,0.05842102141967009,0.05842102141967009,0.10345915495132932,0.11629217578050847,0.14543639711897052,0.17765118674760388,0.19423547287588122,0.2075029017785031,0.07078278,0.098207235,0.007949313166898817,0.0714464545249939,0.07410115003585815,0.07741951942443848,0.07935380935668945,0.08279550075531006,0.08883127570152283,0.09407836198806763,0.09614279866218567,0.0977943480014801,Adam,0.5,False,False,0.95,0.001
400,2.0,100.0,4.090909090909091,0.11917593489218493,0.08606715,0.05722338859687884,0.17150018202067188,0.0378721557058088,0.058848325101800845,0.06534807112148887,0.0734727536460989,0.09128151018074121,0.12324965132466685,0.1539806630559543,0.15472034096097287,0.16311026149082236,0.169822197914702,0.07867968,0.09397179,0.004314714144490065,0.0790857195854187,0.08070987462997437,0.08274006843566895,0.08292979001998901,0.0865049660205841,0.08905747532844543,0.08992445468902588,0.09194812178611755,0.09356705546379089,Adam,0.5,False,False,0.95,0.001
500,2.0,100.0,4.090909090909091,0.08498924100795888,0.084353656,0.0327717371762112,0.17221153430777333,0.04748869444889786,0.033407484525485115,0.035950473922580786,0.03912921066895037,0.055347124619553476,0.06235341861451443,0.12076701582117283,0.14803924591215753,0.16012539010996543,0.16979430546821175,0.0777567,0.095142365,0.005782968381211924,0.07775670289993286,0.07775670289993286,0.07775670289993286,0.07912936806678772,0.08476829528808594,0.0874878466129303,0.09151804447174072,0.09333020448684692,0.09477993249893188,Adam,0.5,False,False,0.95,0.001
600,2.0,100.0,4.090909090909091,0.0938309561206803,0.07841017,0.024854719679919483,0.12621206995586748,0.032797452049406046,0.027132434101687523,0.036243291788759686,0.047631863897599894,0.08159438056055329,0.1063537510087873,0.11723128652954007,0.12621206995586748,0.12621206995586748,0.12621206995586748,0.059316456,0.088418424,0.008301015353000749,0.06065089702606201,0.06598865985870361,0.07266086339950562,0.07533323764801025,0.07831913232803345,0.08475494384765625,0.08747309446334839,0.08794575929641724,0.08832389116287231,Adam,0.5,False,False,0.95,0.001
700,2.0,100.0,4.090909090909091,0.10309815331111073,0.07931103,0.042532253491085255,0.1856797194505546,0.04187901335201399,0.04364028961358696,0.04807243410359376,0.05361261471610227,0.07148333428881241,0.10655034421712346,0.12588942900754613,0.14127308465936467,0.1634764020549596,0.1812390559714356,0.0628106,0.090167046,0.007642687223806758,0.06356562972068787,0.06658574938774109,0.07036089897155762,0.07903847098350525,0.07959455251693726,0.08129227161407471,0.08953869342803955,0.08985286951065063,0.0901042103767395,Adam,0.5,False,False,0.95,0.001
800,2.0,100.0,4.090909090909091,0.09488326254738447,0.07604377,0.02653422691692282,0.15326153788842128,0.04603187877360624,0.02669063472330627,0.02731626594884008,0.028098304980757337,0.05223179725068955,0.11852940127899471,0.12943788624865604,0.13182700798028937,0.14254427293435534,0.1511180848976081,0.06464714,0.086676,0.006751216495544946,0.06498670279979706,0.0663449615240097,0.06804278492927551,0.07293751835823059,0.07413637638092041,0.08025404810905457,0.08454155921936035,0.08560878038406372,0.08646255731582642,Adam,0.5,False,False,0.95,0.001
900,2.0,100.0,4.090909090909091,0.07745204248349825,0.07443721,0.02019107118761395,0.13546030017102897,0.04046708355779361,0.021046355848607787,0.024467494492583133,0.028743917797552313,0.047677459889009316,0.07461820258100242,0.10732239732281958,0.13546030017102897,0.13546030017102897,0.13546030017102897,0.060617268,0.089312196,0.008483349592851418,0.06099775433540344,0.06251969933509827,0.0644221305847168,0.06938305497169495,0.07562059164047241,0.08059090375900269,0.08125388622283936,0.08528304100036621,0.0885063648223877,Adam,0.5,False,False,0.95,0.001
1000,2.0,100.0,4.090909090909091,0.08286301728507749,0.06777669,0.028767031454509265,0.13370677756531432,0.04278070814905108,0.029050735536367837,0.030185551863802125,0.03160407227309499,0.04218137092181062,0.07398726414877159,0.12828353865502007,0.12983782426507706,0.1317723009151957,0.1333198822352906,0.057023287,0.075143814,0.006436276741850214,0.05744341015815735,0.05912390351295471,0.061224520206451416,0.061522871255874634,0.06870526075363159,0.07388439774513245,0.07430773973464966,0.07472577691078186,0.07506020665168762,Adam,0.5,False,False,0.95,0.001
1100,2.0,100.0,4.090909090909091,0.079578558921719,0.064340115,0.03169243141720466,0.12922524228328827,0.03168432500614444,0.033531855976483324,0.04088955421359797,0.050086677009991275,0.056131767557916865,0.07931739302084546,0.1003868844702338,0.12599715722468569,0.127611199753987,0.12890243377742802,0.0552243,0.07580507,0.006829030341852595,0.05523764491081238,0.05529102683067322,0.05535775423049927,0.05902796983718872,0.06409132480621338,0.06901851296424866,0.07231742143630981,0.07406124472618103,0.075456303358078,Adam,0.5,False,False,0.95,0.001
