iter,repetition,loss,med_percentage_error,mean_percentage_error,mean_Euler_error,optimal_N,var_loss,time,min_loss,max_loss,std_loss,P5_loss,P10_loss,P25_loss,P50_loss,P75_loss,P90_loss,P95_loss,min_med_percentage_error,max_med_percentage_error,std_med_percentage_error,P5_med_percentage_error,P10_med_percentage_error,P25_med_percentage_error,P50_med_percentage_error,P75_med_percentage_error,P90_med_percentage_error,P95_med_percentage_error,min_mean_percentage_error,max_mean_percentage_error,std_mean_percentage_error,P5_mean_percentage_error,P10_mean_percentage_error,P25_mean_percentage_error,P50_mean_percentage_error,P75_mean_percentage_error,P90_mean_percentage_error,P95_mean_percentage_error,min_mean_Euler_error,max_mean_Euler_error,std_mean_Euler_error,P5_mean_Euler_error,P10_mean_Euler_error,P25_mean_Euler_error,P50_mean_Euler_error,P75_mean_Euler_error,P90_mean_Euler_error,P95_mean_Euler_error,min_optimal_N,max_optimal_N,std_optimal_N,P5_optimal_N,P10_optimal_N,P25_optimal_N,P50_optimal_N,P75_optimal_N,P90_optimal_N,P95_optimal_N,min_var_loss,max_var_loss,std_var_loss,P5_var_loss,P10_var_loss,P25_var_loss,P50_var_loss,P75_var_loss,P90_var_loss,P95_var_loss,min_time,max_time,std_time,P5_time,P10_time,P25_time,P50_time,P75_time,P90_time,P95_time
0,49.5,0.47512813061475756,-1.0,-1.0,0.6763635923186223,2.0,4.625349280560798e-07,0.007411007639993841,0.18506231904029846,1.5326457023620605,0.2002502595384489,0.21965268403291702,0.27228459119796755,0.34796323627233505,0.4380037635564804,0.5628640204668045,0.6681494593620301,0.8298085898160934,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.4301887016650931,1.2380006875450678,0.13356200693903167,0.4686675361437139,0.5217839153554324,0.589880351901488,0.6618152869715322,0.7502411892198158,0.8174039546459803,0.9109371890369491,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.687757572061855e-11,1.147082168608904e-05,1.1792134514541984e-06,4.391176025819732e-09,1.1979766713920982e-08,7.569724766653963e-08,2.1945033222436903e-07,5.010900931665675e-07,1.0312172584235674e-06,1.3299983227625488e-06,0.004708841000137909,0.012728755999887653,0.0015924510977530033,0.00545892290001575,0.005686375000004773,0.006168199249941608,0.007159121999848139,0.008148542750177512,0.009218849599346868,0.010361952299581388
1,49.5,0.221916842777282,-1.0,-1.0,0.4463623950690344,2.0,4.625349280560798e-07,0.01968402037998203,0.019451478496193886,0.9344033002853394,0.14945754811850942,0.04790133088827133,0.07466697692871094,0.113297363743186,0.18956394493579865,0.2956370934844017,0.3932332098484041,0.4768243178725243,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.13946855737474984,0.9666453849707964,0.15134900147671007,0.2188527685584236,0.2732381875830667,0.33659666691020507,0.4353893945633077,0.5437250627312677,0.6270666766369423,0.6905242152866211,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.687757572061855e-11,1.147082168608904e-05,1.1792134514541984e-06,4.391176025819732e-09,1.1979766713920982e-08,7.569724766653963e-08,2.1945033222436903e-07,5.010900931665675e-07,1.0312172584235674e-06,1.3299983227625488e-06,0.013504901000487735,0.029042014999504318,0.003553182262108283,0.01507734895003523,0.015704911800548872,0.01722732799998994,0.019010313999388018,0.021541672499779452,0.025883762800094703,0.02725333484963812
2,49.5,0.09899005125684197,-1.0,-1.0,0.26451379381469986,2.0,4.625349280560798e-07,0.02456992021001497,0.00021436087263282388,0.6050295233726501,0.11214623959778133,0.0015998831833712757,0.005819998867809773,0.013454432832077146,0.06139363348484039,0.16165853291749954,0.2523830950260163,0.28990045338869097,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.014641068015442859,0.7778364374164084,0.1712181671028428,0.0399874085369993,0.07626476271879473,0.11599221302721172,0.2477659436707318,0.40206489124202394,0.5023715017702457,0.5384240400985942,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.687757572061855e-11,1.147082168608904e-05,1.1792134514541984e-06,4.391176025819732e-09,1.1979766713920982e-08,7.569724766653963e-08,2.1945033222436903e-07,5.010900931665675e-07,1.0312172584235674e-06,1.3299983227625488e-06,0.01723716600008629,0.0358847709994734,0.0045162877351449604,0.018992055800435993,0.01962725580051483,0.02112911325002642,0.023848024000471924,0.027348476250153908,0.03309412200069346,0.033866378299990174
3,49.5,0.04496719758350082,-1.0,-1.0,0.14853348967381827,2.0,4.625349280560798e-07,0.029458865939986936,5.3274434321792796e-05,0.46565213799476624,0.08005102201748826,0.000292245380114764,0.0004442553879925982,0.0011971619096584618,0.00741058518178761,0.048320235684514046,0.14739742875099185,0.21648216620087615,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.007298933779792278,0.6823870880920639,0.152106422170378,0.01709517748221001,0.021066520623022483,0.03459969520893402,0.08601207065822639,0.2198120162155595,0.3839201435132427,0.46522713734814425,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.687757572061855e-11,1.147082168608904e-05,1.1792134514541984e-06,4.391176025819732e-09,1.1979766713920982e-08,7.569724766653963e-08,2.1945033222436903e-07,5.010900931665675e-07,1.0312172584235674e-06,1.3299983227625488e-06,0.021401470000455447,0.04483937099939794,0.00553939720142642,0.023011137699904795,0.023572730300202238,0.025192486750029275,0.028434472999833815,0.03273698850011897,0.038656645699211366,0.04072934570071993
4,49.5,0.02354839291634562,-1.0,-1.0,0.09662204690808801,2.0,4.625349280560798e-07,0.03427340602001095,8.318282925756648e-05,0.4056950807571411,0.05884572579472942,0.00017125902741099708,0.00032375787268392744,0.0009323790727648884,0.002630076603963971,0.0063398872734978795,0.07046399787068379,0.15477832928299898,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.009120462118641055,0.6369419759735898,0.11981708688974332,0.013086102371706307,0.017993242664205177,0.03052040859893565,0.05128302704444551,0.0796210542566988,0.26533970730158724,0.3933820717267178,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.687757572061855e-11,1.147082168608904e-05,1.1792134514541984e-06,4.391176025819732e-09,1.1979766713920982e-08,7.569724766653963e-08,2.1945033222436903e-07,5.010900931665675e-07,1.0312172584235674e-06,1.3299983227625488e-06,0.024951735000286135,0.05031831599990255,0.0063209612467500995,0.026614397299908887,0.027300052199916536,0.029141035500060752,0.03337559550027436,0.038361869000254956,0.04399624449970362,0.04677159005013891
5,49.5,0.014989762034310843,-1.0,-1.0,0.08017481043836377,2.0,4.625349280560798e-07,0.03926203693000389,6.543023482663557e-05,0.34266677498817444,0.04408766013460219,0.0003162316585076042,0.0005246794898994267,0.0012911521771457046,0.0026234908727928996,0.005813157767988741,0.026065109111368816,0.07469203807413562,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.008088895773011022,0.5853774636831985,0.09299593672824048,0.017779363904564527,0.022902021791513606,0.035932384665831194,0.05118367603629329,0.076243692278766,0.16070345854148657,0.27256556648656527,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.687757572061855e-11,1.147082168608904e-05,1.1792134514541984e-06,4.391176025819732e-09,1.1979766713920982e-08,7.569724766653963e-08,2.1945033222436903e-07,5.010900931665675e-07,1.0312172584235674e-06,1.3299983227625488e-06,0.028543962000185275,0.05712577199938096,0.007050004922612454,0.030676442300273266,0.031152657000257024,0.03345991799960757,0.03766494599994985,0.043953267750339364,0.05006401810005628,0.05169723744952534
6,49.5,0.011301087005122099,-1.0,-1.0,0.0784672293970237,2.0,4.625349280560798e-07,0.044232937890019454,0.00022844417253509164,0.23927496373653412,0.030990598017532525,0.0005801397521281615,0.0010393047647085042,0.00200456939637661,0.0036837970837950706,0.007054432411678135,0.010936330072581778,0.03877254053950299,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.015114369736614612,0.4891574018008254,0.07208287119050988,0.024084072393669873,0.032234902122663986,0.04477024277174232,0.0606940787144081,0.08399066737521185,0.10456142006721975,0.19614869210097352,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.687757572061855e-11,1.147082168608904e-05,1.1792134514541984e-06,4.391176025819732e-09,1.1979766713920982e-08,7.569724766653963e-08,2.1945033222436903e-07,5.010900931665675e-07,1.0312172584235674e-06,1.3299983227625488e-06,0.03211175500018726,0.06863156300005357,0.008246264006773607,0.034337319949690935,0.03531706310022855,0.037621411750251355,0.041615653000008024,0.04924494950000735,0.0566807649999646,0.06040926274995399
7,49.5,0.009802865443052724,-1.0,-1.0,0.08090310175778258,2.0,4.625349280560798e-07,0.04891354512000362,0.00013963712262921035,0.15270699560642242,0.0214129432602173,0.000894004589645192,0.0013990957057103516,0.002438707568217069,0.00553938839584589,0.007817152771167457,0.014004136435687549,0.021916862484067656,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.011816815249008945,0.3907774246376349,0.0573625152039891,0.029896941680246356,0.037393010307208124,0.049383270649566505,0.07442456954630366,0.08841461918194012,0.11833369275587127,0.14795341016738162,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.687757572061855e-11,1.147082168608904e-05,1.1792134514541984e-06,4.391176025819732e-09,1.1979766713920982e-08,7.569724766653963e-08,2.1945033222436903e-07,5.010900931665675e-07,1.0312172584235674e-06,1.3299983227625488e-06,0.03568213500057027,0.07672702899981232,0.009027796233685128,0.03799336514980496,0.03905217109959267,0.041280887500533936,0.04748405050031579,0.05437287400013702,0.0620979570999225,0.06535847889977049
8,49.5,0.009081747696618549,-1.0,-1.0,0.0834956099745087,2.0,4.625349280560798e-07,0.05354575686001226,0.0005722392234019935,0.09887756407260895,0.015032722046859312,0.0013024677697103472,0.002079188800416887,0.00328859273577109,0.006073198514059186,0.008923949208110571,0.012883603293448688,0.016588505357503888,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.023921522179869606,0.3144480307977917,0.046168672001117156,0.03608297596893281,0.04559575023227088,0.05734595237459349,0.07793049301357713,0.09446650024337264,0.11350571940598932,0.1287929201275007,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.687757572061855e-11,1.147082168608904e-05,1.1792134514541984e-06,4.391176025819732e-09,1.1979766713920982e-08,7.569724766653963e-08,2.1945033222436903e-07,5.010900931665675e-07,1.0312172584235674e-06,1.3299983227625488e-06,0.039193501000227116,0.08476190900000802,0.009743653733352786,0.0417652370505948,0.042711715899713454,0.04538169124975866,0.0514164605001497,0.06022075475038946,0.06752410499993858,0.07015645374949599
9,49.5,0.008435605521081016,-1.0,-1.0,0.08269544716093691,2.0,4.625349280560798e-07,0.058167831730006586,6.971065158722922e-05,0.08514142781496048,0.011557431847478943,0.0013483473070664332,0.0023226881166920066,0.0035388166434131563,0.006234061438590288,0.009216359350830317,0.012649087328463794,0.016144822165369985,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.00834929048406086,0.29179004063703146,0.04016466787348782,0.036656741319376906,0.04819359009932242,0.05948379137178812,0.07895606149898271,0.09600166998531039,0.11246764347270291,0.12706056253242462,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.687757572061855e-11,1.147082168608904e-05,1.1792134514541984e-06,4.391176025819732e-09,1.1979766713920982e-08,7.569724766653963e-08,2.1945033222436903e-07,5.010900931665675e-07,1.0312172584235674e-06,1.3299983227625488e-06,0.042700820000391104,0.09052668099957373,0.010468840937246687,0.04541941100001168,0.04623701189984786,0.0490965349997623,0.05568251049999162,0.06528932300034285,0.07297393069966347,0.0761974254996403
