sigma_e,alpha,beta,optim,lr,N,M,T,N_star
0.05,0.99,0.99,Adam,0.1,2,100,100,True
0.05,0.99,0.99,Adam,0.1,100,2,100,False
0.05,0.99,0.99,Adam,0.1,20,10,100,False
0.05,0.99,0.99,Adam,0.1,2,100,100,False
0.05,0.99,0.99,Adam,0.05,2,100,100,True
0.05,0.99,0.99,Adam,0.05,100,2,100,False
0.05,0.99,0.99,Adam,0.05,20,10,100,False
0.05,0.99,0.99,Adam,0.05,2,100,100,False
0.05,0.99,0.99,Adam,0.01,2,100,100,True
0.05,0.99,0.99,Adam,0.01,100,2,100,False
0.05,0.99,0.99,Adam,0.01,20,10,100,False
0.05,0.99,0.99,Adam,0.01,2,100,100,False
0.05,0.99,0.99,Adam,0.005,2,100,100,True
0.05,0.99,0.99,Adam,0.005,100,2,100,False
0.05,0.99,0.99,Adam,0.005,20,10,100,False
0.05,0.99,0.99,Adam,0.005,2,100,100,False
