iter,repetition,loss,med_percentage_error,mean_percentage_error,mean_Euler_error,optimal_N,var_loss,time,min_loss,max_loss,std_loss,P5_loss,P10_loss,P25_loss,P50_loss,P75_loss,P90_loss,P95_loss,min_med_percentage_error,max_med_percentage_error,std_med_percentage_error,P5_med_percentage_error,P10_med_percentage_error,P25_med_percentage_error,P50_med_percentage_error,P75_med_percentage_error,P90_med_percentage_error,P95_med_percentage_error,min_mean_percentage_error,max_mean_percentage_error,std_mean_percentage_error,P5_mean_percentage_error,P10_mean_percentage_error,P25_mean_percentage_error,P50_mean_percentage_error,P75_mean_percentage_error,P90_mean_percentage_error,P95_mean_percentage_error,min_mean_Euler_error,max_mean_Euler_error,std_mean_Euler_error,P5_mean_Euler_error,P10_mean_Euler_error,P25_mean_Euler_error,P50_mean_Euler_error,P75_mean_Euler_error,P90_mean_Euler_error,P95_mean_Euler_error,min_optimal_N,max_optimal_N,std_optimal_N,P5_optimal_N,P10_optimal_N,P25_optimal_N,P50_optimal_N,P75_optimal_N,P90_optimal_N,P95_optimal_N,min_var_loss,max_var_loss,std_var_loss,P5_var_loss,P10_var_loss,P25_var_loss,P50_var_loss,P75_var_loss,P90_var_loss,P95_var_loss,min_time,max_time,std_time,P5_time,P10_time,P25_time,P50_time,P75_time,P90_time,P95_time
0,49.5,0.4908689659833908,-1.0,-1.0,0.687553135993807,2.0,1.7758097342630208e-05,0.006649252110291854,0.20063117146492004,1.627401351928711,0.20819580065375484,0.22920729517936705,0.2857551246881485,0.3590232580900192,0.4507633149623871,0.5790027678012848,0.6859195768833161,0.8476749658584595,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.44791871077788215,1.2756964184039676,0.13536203296402555,0.47875358693343595,0.5345109353522854,0.599185407658656,0.6713848217808701,0.760922139542161,0.8282024810824192,0.9206921897521867,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.895142056848271e-09,0.0008495776355266571,8.637245224675032e-05,5.633287310047308e-08,2.1058339552837426e-07,8.828347563394346e-07,3.2485877454746515e-06,7.806617504684255e-06,2.647652523592115e-05,4.8441522987559386e-05,0.004499086000578245,0.012221585999213858,0.001907928836853553,0.004643374151783064,0.004797670101106632,0.00504582900157402,0.0059184989986533765,0.007937166750707547,0.00940920769935474,0.01010782060038764
1,49.5,0.44769174814224244,-1.0,-1.0,0.6570607601466465,2.0,1.7758097342630208e-05,0.020220696170326846,0.1656118780374527,1.2416191101074219,0.1798148430814988,0.2114172659814358,0.2599483847618103,0.3287907689809799,0.42006681859493256,0.5321967601776123,0.6461892664432526,0.7827133953571319,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.40695439306813325,1.1142796373026933,0.1269808926123922,0.4597937799403924,0.5097731380610382,0.5734012218471981,0.6481256006745294,0.7295012965729429,0.8038589832941176,0.8847083271165731,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.895142056848271e-09,0.0008495776355266571,8.637245224675032e-05,5.633287310047308e-08,2.1058339552837426e-07,8.828347563394346e-07,3.2485877454746515e-06,7.806617504684255e-06,2.647652523592115e-05,4.8441522987559386e-05,0.015370149001682876,0.029215947000921005,0.0027899191442349617,0.016626045747761962,0.016976123999484116,0.018013882750892662,0.02005321350043232,0.021645730501404614,0.024038844401729875,0.025472537651694434
2,49.5,0.4097548797726631,-1.0,-1.0,0.6284084622175754,2.0,1.7758097342630208e-05,0.024906094890138775,0.13943392038345337,0.988155722618103,0.16237871191750117,0.19362640455365182,0.23222140073776246,0.3017086386680603,0.370988205075264,0.49395499378442764,0.6077637374401093,0.7313510954380035,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3734085167527026,0.9940602208207021,0.12250617129788142,0.44002073336586234,0.4818126032661154,0.5492754518858606,0.6090861862094412,0.7028085952421188,0.7795919041590327,0.8551871991977357,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.895142056848271e-09,0.0008495776355266571,8.637245224675032e-05,5.633287310047308e-08,2.1058339552837426e-07,8.828347563394346e-07,3.2485877454746515e-06,7.806617504684255e-06,2.647652523592115e-05,4.8441522987559386e-05,0.019730092000827426,0.03473093600041466,0.0033061303046171904,0.02113810359969648,0.02168983440133161,0.022549798251020547,0.024377978001211886,0.026065910000397707,0.028919763597878054,0.03252728024981479
3,49.5,0.3769674024730921,-1.0,-1.0,0.6023012568267027,2.0,1.7758097342630208e-05,0.029140982910066667,0.1193530336022377,0.81581050157547,0.15053938329220304,0.17312351390719413,0.2092364639043808,0.27561794221401215,0.35028305649757385,0.4541129991412163,0.5706239879131317,0.6859511226415633,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3454750839094445,0.9032222880196602,0.1197666017174062,0.41608027206843484,0.45737551564984147,0.5249925152622494,0.5918469004112814,0.6738767469364364,0.7553965755180747,0.8282181501651905,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.895142056848271e-09,0.0008495776355266571,8.637245224675032e-05,5.633287310047308e-08,2.1058339552837426e-07,8.828347563394346e-07,3.2485877454746515e-06,7.806617504684255e-06,2.647652523592115e-05,4.8441522987559386e-05,0.022997388001385843,0.042523151998466346,0.0038000735304248405,0.025151520649342275,0.02532661319928593,0.0267630164989896,0.028261890998692252,0.030214490749131073,0.034476355300284936,0.03734578954899916
4,49.5,0.3470625663548708,-1.0,-1.0,0.5770141222270202,2.0,1.7758097342630208e-05,0.03301412315016933,0.1046118214726448,0.7662243247032166,0.14333792006167165,0.15446265563368797,0.16877553164958953,0.2510933466255665,0.32620343565940857,0.4071788266301155,0.5399548411369324,0.6456405818462372,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.32343750783210784,0.8753424042643064,0.11941468830627579,0.39301703051000236,0.4108229927307005,0.5010900762208207,0.5711399809916222,0.6380388515307598,0.7348150228378392,0.803515348785372,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.895142056848271e-09,0.0008495776355266571,8.637245224675032e-05,5.633287310047308e-08,2.1058339552837426e-07,8.828347563394346e-07,3.2485877454746515e-06,7.806617504684255e-06,2.647652523592115e-05,4.8441522987559386e-05,0.026049662999866996,0.04855230700195534,0.004524021028074649,0.02854818910018366,0.02880963210009213,0.03022504550153826,0.031743801999255084,0.03430683350052277,0.04028104289864132,0.04281693610009825
5,49.5,0.3197292972356081,-1.0,-1.0,0.5525738566781359,2.0,1.7758097342630208e-05,0.03681624849028595,0.08418083190917969,0.7173375487327576,0.138517388002069,0.1331973910331726,0.1543456271290779,0.2192608341574669,0.2935568243265152,0.382902629673481,0.5152720510959625,0.5674890905618666,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2901393318893178,0.846957819925383,0.12056864489902407,0.3649607777179144,0.3928599641142913,0.46825223195006727,0.5417958629039044,0.618750664446161,0.7178244394805037,0.7532770890708133,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.895142056848271e-09,0.0008495776355266571,8.637245224675032e-05,5.633287310047308e-08,2.1058339552837426e-07,8.828347563394346e-07,3.2485877454746515e-06,7.806617504684255e-06,2.647652523592115e-05,4.8441522987559386e-05,0.029081058000883786,0.05772810399867012,0.005625878510489482,0.031568951199005824,0.03216681180165324,0.03331281624832627,0.035167674999684095,0.037806581248332805,0.04481900449936803,0.049693401749209436
6,49.5,0.29422037184238437,-1.0,-1.0,0.528356408146734,2.0,1.7758097342630208e-05,0.04036727103037265,0.07046084105968475,0.6706840991973877,0.13535719575931493,0.11215183660387992,0.13724472224712372,0.19651508331298828,0.2778935730457306,0.37097102403640747,0.4722796410322191,0.5427936077117919,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2654446101537659,0.8189530506673675,0.1233369279274133,0.33487923999096497,0.37045350951010203,0.4432754854468246,0.5271506803753008,0.60906974552005,0.687216016829508,0.7367161716064754,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.895142056848271e-09,0.0008495776355266571,8.637245224675032e-05,5.633287310047308e-08,2.1058339552837426e-07,8.828347563394346e-07,3.2485877454746515e-06,7.806617504684255e-06,2.647652523592115e-05,4.8441522987559386e-05,0.03208764800001518,0.06329585799903725,0.006411989455660008,0.034705111099356145,0.035259309102548285,0.03670440774749295,0.038274429500233964,0.04099803474946384,0.049788511899532754,0.05442863410007703
7,49.5,0.2700356686860323,-1.0,-1.0,0.504529235930524,2.0,1.7758097342630208e-05,0.04385018539021985,0.0566498264670372,0.6228191256523132,0.13110354880330516,0.09084967523813248,0.1174679972231388,0.17588282749056816,0.2453647404909134,0.35388409346342087,0.44713596403598793,0.5208641290664672,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2380122401622177,0.7891889036550839,0.1250693495601056,0.30141104888732406,0.34273004299826637,0.41937535958672356,0.49532754930111134,0.5948811627293797,0.6686804243161454,0.7216925754372698,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.895142056848271e-09,0.0008495776355266571,8.637245224675032e-05,5.633287310047308e-08,2.1058339552837426e-07,8.828347563394346e-07,3.2485877454746515e-06,7.806617504684255e-06,2.647652523592115e-05,4.8441522987559386e-05,0.03504812800019863,0.06750258900137851,0.007037855398434564,0.03765752430026623,0.03830737240023154,0.03976310225243651,0.041311221499199746,0.04427449000104389,0.054033081300804045,0.05883668239912365
8,49.5,0.2483450321480632,-1.0,-1.0,0.4816898988114473,2.0,1.7758097342630208e-05,0.04733854826004972,0.04415619373321533,0.5989311933517456,0.12875437369739345,0.07619221098721027,0.10240473300218582,0.1538509763777256,0.21951758861541748,0.33369073271751404,0.42165257036685955,0.502005124092102,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2101337520086084,0.7739064500000925,0.12839283756684197,0.27602934764762826,0.3200072696729062,0.39223598639651847,0.4685265563222879,0.5776481647224596,0.6493437418908,0.7085117388387591,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.895142056848271e-09,0.0008495776355266571,8.637245224675032e-05,5.633287310047308e-08,2.1058339552837426e-07,8.828347563394346e-07,3.2485877454746515e-06,7.806617504684255e-06,2.647652523592115e-05,4.8441522987559386e-05,0.03848106100122095,0.07143851599903428,0.0075427767119780505,0.04094442119785526,0.041224731800684825,0.04280161975111696,0.04480806250103342,0.048157720249037084,0.05795325529979892,0.06595768674924328
9,49.5,0.22824780363589525,-1.0,-1.0,0.4598233044697899,2.0,1.7758097342630208e-05,0.05073633262032672,0.03739531338214874,0.5844702124595642,0.1253033917093739,0.06486789099872112,0.09054820761084556,0.13380277529358864,0.2026602029800415,0.30597127228975296,0.3952324867248535,0.4791485533118247,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.19337867871652434,0.7645065156423222,0.13030784181608476,0.2546917553634518,0.300912128372544,0.36578465274780103,0.45017475160249454,0.5531442088445807,0.6286751834595489,0.6921964750501597,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.895142056848271e-09,0.0008495776355266571,8.637245224675032e-05,5.633287310047308e-08,2.1058339552837426e-07,8.828347563394346e-07,3.2485877454746515e-06,7.806617504684255e-06,2.647652523592115e-05,4.8441522987559386e-05,0.04194426700269105,0.07566050099921995,0.007963177911915725,0.04385568420220807,0.04432149239946739,0.04590344600001117,0.04783554550158442,0.051789213252050104,0.061831888000233454,0.0708576520484712
