sigma_e,alpha,beta,optim,lr,N,M,T,N_star
0.05,0.995,0.995,Adam,0.1,2,1,1,False
0.05,0.995,0.995,Adam,0.1,2,10,10,False
0.05,0.995,0.995,Adam,0.1,2,100,100,False
0.05,0.995,0.995,Adam,0.1,2,1000,1000,False
0.05,0.995,0.995,Adam,0.05,2,1,1,False
0.05,0.995,0.995,Adam,0.05,2,10,10,False
0.05,0.995,0.995,Adam,0.05,2,100,100,False
0.05,0.995,0.995,Adam,0.05,2,1000,1000,False
0.05,0.995,0.995,Adam,0.01,2,1,1,False
0.05,0.995,0.995,Adam,0.01,2,10,10,False
0.05,0.995,0.995,Adam,0.01,2,100,100,False
0.05,0.995,0.995,Adam,0.01,2,1000,1000,False
0.05,0.995,0.995,Adam,0.005,2,1,1,False
0.05,0.995,0.995,Adam,0.005,2,10,10,False
0.05,0.995,0.995,Adam,0.005,2,100,100,False
0.05,0.995,0.995,Adam,0.005,2,1000,1000,False
