iter,repetition,loss,med_percentage_error,mean_percentage_error,mean_Euler_error,optimal_N,var_loss,time,min_loss,max_loss,std_loss,P5_loss,P10_loss,P25_loss,P50_loss,P75_loss,P90_loss,P95_loss,min_med_percentage_error,max_med_percentage_error,std_med_percentage_error,P5_med_percentage_error,P10_med_percentage_error,P25_med_percentage_error,P50_med_percentage_error,P75_med_percentage_error,P90_med_percentage_error,P95_med_percentage_error,min_mean_percentage_error,max_mean_percentage_error,std_mean_percentage_error,P5_mean_percentage_error,P10_mean_percentage_error,P25_mean_percentage_error,P50_mean_percentage_error,P75_mean_percentage_error,P90_mean_percentage_error,P95_mean_percentage_error,min_mean_Euler_error,max_mean_Euler_error,std_mean_Euler_error,P5_mean_Euler_error,P10_mean_Euler_error,P25_mean_Euler_error,P50_mean_Euler_error,P75_mean_Euler_error,P90_mean_Euler_error,P95_mean_Euler_error,min_optimal_N,max_optimal_N,std_optimal_N,P5_optimal_N,P10_optimal_N,P25_optimal_N,P50_optimal_N,P75_optimal_N,P90_optimal_N,P95_optimal_N,min_var_loss,max_var_loss,std_var_loss,P5_var_loss,P10_var_loss,P25_var_loss,P50_var_loss,P75_var_loss,P90_var_loss,P95_var_loss,min_time,max_time,std_time,P5_time,P10_time,P25_time,P50_time,P75_time,P90_time,P95_time
0,49.5,0.5077093614637852,-1.0,-1.0,0.695659595415254,100.0,0.005849176836830347,0.006896226070239209,0.19604453444480896,2.497469902038574,0.27084618308308395,0.23037763088941574,0.3047463893890381,0.3600587248802185,0.4645306169986725,0.612115353345871,0.7231362283229829,0.7599173277616497,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.44276916609539213,1.5803385403256398,0.15494244213323968,0.4799590029620605,0.5520018641015202,0.600048932976311,0.6815557982232602,0.7823758061055708,0.8503740193579459,0.8715909375502312,100,100,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.1649543221550754e-06,0.3273850072995581,0.03297879118083557,5.697538199448827e-05,9.693239794837103e-05,0.000382676317234232,0.0008620421091715496,0.002282644666806616,0.004830490459095356,0.012150503254900073,0.004418062002514489,0.01256243399984669,0.001549547187365297,0.005426494449784514,0.005546306200994877,0.00587685825121298,0.006483525001385715,0.007286568748895661,0.008719100602320397,0.009933016051581941
1,49.5,0.4918149581551552,-1.0,-1.0,0.6883789613974541,100.0,0.005849176836830347,0.020313421900355025,0.17534813284873962,1.415237307548523,0.20054141356139304,0.22612839341163635,0.28180105686187745,0.360138937830925,0.45214134454727173,0.5945812612771988,0.6860971689224243,0.864006721973419,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.4187459048739935,1.189637468957885,0.13465017773534158,0.4755261823228744,0.530845094114353,0.6001155806645979,0.6724144403554717,0.7710794177171384,0.828309759248164,0.9294786013220409,100,100,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.1649543221550754e-06,0.3273850072995581,0.03297879118083557,5.697538199448827e-05,9.693239794837103e-05,0.000382676317234232,0.0008620421091715496,0.002282644666806616,0.004830490459095356,0.012150503254900073,0.014021057002537418,0.03447196600609459,0.0037645095920138894,0.017059961946506517,0.017425181395810795,0.01813327749732707,0.019044897497224156,0.021468830746016465,0.024459418102196654,0.030470707453423528
2,49.5,0.46813246741890907,-1.0,-1.0,0.6715062223150922,100.0,0.005849176836830347,0.02589648848028446,0.16879035532474518,1.1842882633209229,0.1916239151122759,0.22388416156172752,0.26329990178346635,0.34487149864435196,0.43841521441936493,0.5645222067832947,0.6638248264789581,0.8642940163612364,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.41084103412968037,1.088250092267822,0.13185491265376686,0.47316394226130704,0.5130912511052728,0.5872576022542453,0.6621280166986745,0.7513460321262374,0.8147543180081901,0.9296292280299548,100,100,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.1649543221550754e-06,0.3273850072995581,0.03297879118083557,5.697538199448827e-05,9.693239794837103e-05,0.000382676317234232,0.0008620421091715496,0.002282644666806616,0.004830490459095356,0.012150503254900073,0.0177866259982693,0.04278808999515604,0.004480537858103664,0.021953258501162053,0.022314743403694593,0.023151023751779576,0.024335861999134067,0.02748200699898007,0.03158205349900527,0.03680647640358074
3,49.5,0.456045665293932,-1.0,-1.0,0.6623666179437699,100.0,0.005849176836830347,0.031241967389942147,0.17133991420269012,1.0621240139007568,0.18722401214775727,0.2206324264407158,0.25118971019983294,0.31945568323135376,0.4232823997735977,0.5495028644800186,0.6521762847900393,0.840074187517166,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.4139322579875723,1.0305940102197164,0.1322536922692609,0.46971525056015623,0.5011625832035513,0.5652040747375994,0.6505887003755944,0.7412844320672499,0.8075615613392524,0.9165400613542629,100,100,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.1649543221550754e-06,0.3273850072995581,0.03297879118083557,5.697538199448827e-05,9.693239794837103e-05,0.000382676317234232,0.0008620421091715496,0.002282644666806616,0.004830490459095356,0.012150503254900073,0.02141403200221248,0.04850966999947559,0.005129761101307472,0.02667398595294799,0.027072189495083877,0.02804789549736597,0.029331763500522356,0.03291908975006663,0.039713157100050016,0.0417971121991286
4,49.5,0.41968448519706725,-1.0,-1.0,0.6362225665857993,100.0,0.005849176836830347,0.03660148619987012,0.11988946050405502,0.9190919399261475,0.1591125123031943,0.2019178442656994,0.21838240772485734,0.309280663728714,0.40193670988082886,0.5224151611328125,0.6311415672302246,0.6903810679912565,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3462505747346205,0.9586928287653702,0.12270244440381826,0.4493520893851312,0.4673135566873344,0.5561282097487686,0.6339847592602097,0.7227729993106486,0.7944438444502417,0.8308524495887335,100,100,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.1649543221550754e-06,0.3273850072995581,0.03297879118083557,5.697538199448827e-05,9.693239794837103e-05,0.000382676317234232,0.0008620421091715496,0.002282644666806616,0.004830490459095356,0.012150503254900073,0.025460226999712177,0.05336889299360337,0.005842297873313206,0.031227706601566752,0.031602405694138726,0.03302047724901058,0.034383209498628275,0.03838611374885659,0.04612318150393549,0.049794511749132644
5,49.5,0.4201970349252224,-1.0,-1.0,0.6361026021788075,100.0,0.005849176836830347,0.04170856381031626,0.17102216184139252,1.1043068170547485,0.17212703057125903,0.21093931496143342,0.2396724194288254,0.3007320985198021,0.39862318336963654,0.5089366436004639,0.6166045367717744,0.7431397527456283,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.4135482581771957,1.0508600368530285,0.1254104953744812,0.45927916361915283,0.48955191211293936,0.5483796642682663,0.6313599300019482,0.7133975769854439,0.7852383681644632,0.8620439684855142,100,100,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.1649543221550754e-06,0.3273850072995581,0.03297879118083557,5.697538199448827e-05,9.693239794837103e-05,0.000382676317234232,0.0008620421091715496,0.002282644666806616,0.004830490459095356,0.012150503254900073,0.02918607600440737,0.06253973199636675,0.006428879966171391,0.03531809960186365,0.0358724674959376,0.03783789250155678,0.039459735999116674,0.04377390600166109,0.05134719909983688,0.05519335639837663
6,49.5,0.4015535392612219,-1.0,-1.0,0.6206140487789871,100.0,0.005849176836830347,0.04638995403009176,0.12497631460428238,1.1121835708618164,0.17069065572049963,0.19269944950938225,0.21842148751020432,0.2859465181827545,0.38158710300922394,0.4893651157617569,0.6021527528762818,0.706868126988411,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3535198927985275,1.0546011430212925,0.12867523020401186,0.4389721758811435,0.4673338066045892,0.5347396526797917,0.6176987213257936,0.699546204626966,0.7759843820637643,0.8407540593459372,100,100,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.1649543221550754e-06,0.3273850072995581,0.03297879118083557,5.697538199448827e-05,9.693239794837103e-05,0.000382676317234232,0.0008620421091715496,0.002282644666806616,0.004830490459095356,0.012150503254900073,0.032840901003510226,0.07155216299724998,0.0071028587694453,0.03923223064884951,0.03993213970097713,0.04192371200042544,0.04406194550028886,0.048263580745697254,0.05733111929657753,0.06072845905218855
7,49.5,0.38789344497025013,-1.0,-1.0,0.6101420815339718,100.0,0.005849176836830347,0.050609648660101814,0.11484009027481079,0.8165973424911499,0.1562116702848368,0.16639781817793847,0.18363561630249023,0.2793853208422661,0.3658200055360794,0.48905596137046814,0.5974711894989013,0.6887239009141922,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3388806431102414,0.9036577573900143,0.12560996756290388,0.4079167178891865,0.42852722077362726,0.5285690874521749,0.6048299065447726,0.6993249057287749,0.7729625927245527,0.8298937945526722,100,100,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.1649543221550754e-06,0.3273850072995581,0.03297879118083557,5.697538199448827e-05,9.693239794837103e-05,0.000382676317234232,0.0008620421091715496,0.002282644666806616,0.004830490459095356,0.012150503254900073,0.036405760001798626,0.07647204399836482,0.007548293473266281,0.04253192774813215,0.043399615400267065,0.04552080100438616,0.0486041154981649,0.052556638247551746,0.062462491301266715,0.06543764900161476
8,49.5,0.37067581199109556,-1.0,-1.0,0.5956610001180859,100.0,0.005849176836830347,0.05478576091009017,0.1090809777379036,0.9326059818267822,0.15943100675127206,0.18422020301222802,0.1959135577082634,0.26132915914058685,0.34446853399276733,0.44900213181972504,0.5577090084552766,0.6726978152990339,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.33027409486349907,0.9657152695421058,0.1265860386505144,0.4291909030799489,0.4426212083281774,0.5112035530661341,0.5869130347355368,0.6700707771783008,0.7467928754260582,0.8201358495009967,100,100,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.1649543221550754e-06,0.3273850072995581,0.03297879118083557,5.697538199448827e-05,9.693239794837103e-05,0.000382676317234232,0.0008620421091715496,0.002282644666806616,0.004830490459095356,0.012150503254900073,0.0398283930044272,0.08189161199697992,0.008244090573510915,0.045845168652158465,0.046892009895964294,0.049146936004035524,0.052410417498322204,0.05680788024983485,0.06720637470498333,0.07051167840290873
9,49.5,0.35808419227600097,-1.0,-1.0,0.5856636785600234,100.0,0.005849176836830347,0.0587397812303243,0.13582633435726166,0.8373345732688904,0.15196948719343248,0.16255552917718888,0.18928788900375365,0.2529683746397495,0.3338979333639145,0.424315869808197,0.5557429492473602,0.6624567210674286,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.368546244530129,0.9150598741442498,0.12342849683051672,0.4031788773009256,0.43507178505973143,0.5029544030684076,0.5778318752654267,0.651394310287788,0.7454816608089823,0.8139143290373524,100,100,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.1649543221550754e-06,0.3273850072995581,0.03297879118083557,5.697538199448827e-05,9.693239794837103e-05,0.000382676317234232,0.0008620421091715496,0.002282644666806616,0.004830490459095356,0.012150503254900073,0.04314852700190386,0.08737924900196958,0.008837451540479983,0.04921222574848798,0.05015737670037197,0.052527669751725625,0.05609491300128866,0.06240604050071852,0.0711640460023773,0.0753884502013534
