iter,repetition,loss,med_percentage_error,mean_percentage_error,mean_Euler_error,optimal_N,var_loss,time,min_loss,max_loss,std_loss,P5_loss,P10_loss,P25_loss,P50_loss,P75_loss,P90_loss,P95_loss,min_med_percentage_error,max_med_percentage_error,std_med_percentage_error,P5_med_percentage_error,P10_med_percentage_error,P25_med_percentage_error,P50_med_percentage_error,P75_med_percentage_error,P90_med_percentage_error,P95_med_percentage_error,min_mean_percentage_error,max_mean_percentage_error,std_mean_percentage_error,P5_mean_percentage_error,P10_mean_percentage_error,P25_mean_percentage_error,P50_mean_percentage_error,P75_mean_percentage_error,P90_mean_percentage_error,P95_mean_percentage_error,min_mean_Euler_error,max_mean_Euler_error,std_mean_Euler_error,P5_mean_Euler_error,P10_mean_Euler_error,P25_mean_Euler_error,P50_mean_Euler_error,P75_mean_Euler_error,P90_mean_Euler_error,P95_mean_Euler_error,min_optimal_N,max_optimal_N,std_optimal_N,P5_optimal_N,P10_optimal_N,P25_optimal_N,P50_optimal_N,P75_optimal_N,P90_optimal_N,P95_optimal_N,min_var_loss,max_var_loss,std_var_loss,P5_var_loss,P10_var_loss,P25_var_loss,P50_var_loss,P75_var_loss,P90_var_loss,P95_var_loss,min_time,max_time,std_time,P5_time,P10_time,P25_time,P50_time,P75_time,P90_time,P95_time
0,49.5,0.47486998125910757,-1.0,-1.0,0.6760437067547316,20.0,1.0534151984534744e-05,0.006275161119956465,0.18946729600429535,1.5957964658737183,0.20254939931980087,0.22100454717874526,0.26984383165836334,0.34897375851869583,0.4395521730184555,0.5599231421947479,0.6683633148670197,0.8270961493253707,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.43527841205864476,1.2632483785359545,0.1342201110058179,0.47009785304863805,0.5194396452893164,0.5907400060666014,0.662987248346784,0.7482800922735873,0.8175347324626372,0.9094442439721133,20,20,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,7.465525707679502e-16,0.0002588203235676414,2.696726197037001e-05,1.3536056365793276e-07,2.422170747243064e-07,1.4386731996446062e-06,4.672724508533353e-06,1.1462232735204069e-05,2.1444722225791535e-05,2.681853926103365e-05,0.0036407320003490895,0.011880828998982906,0.001730496521987213,0.00470975919997727,0.004843312901721219,0.0051060429996141465,0.00564659149858926,0.00671271274859464,0.008331686200472182,0.010365626446764508
1,49.5,0.06975983118580188,-1.0,-1.0,0.23993750410391712,20.0,1.0534151984534744e-05,0.019629636740173737,0.0006080988678149879,0.4328478276729584,0.0657265306649848,0.005565750517416746,0.011271055694669485,0.02746837167069316,0.05287172086536884,0.0969917792826891,0.13346620053052904,0.16102695465087888,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.024659660740062664,0.6579117172333674,0.1109637547074375,0.07442177547508483,0.10613234529738251,0.1657337377066071,0.22993275533494825,0.311428508663837,0.365326765383129,0.4012732852853761,20,20,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,7.465525707679502e-16,0.0002588203235676414,2.696726197037001e-05,1.3536056365793276e-07,2.422170747243064e-07,1.4386731996446062e-06,4.672724508533353e-06,1.1462232735204069e-05,2.1444722225791535e-05,2.681853926103365e-05,0.01374922700051684,0.04041478900035145,0.0035748644580596485,0.01615406455221091,0.01663461189928057,0.017564034000315587,0.018760613000267767,0.020737358000587847,0.02367555699966033,0.02573896000176319
2,49.5,0.030097357186314184,-1.0,-1.0,0.15760612332002388,20.0,1.0534151984534744e-05,0.02370248994000576,0.00037702140980400145,0.11539490520954132,0.025790817963311567,0.0024342772201634945,0.004331578314304352,0.01036460092291236,0.021970306523144245,0.043032124638557434,0.07114617675542832,0.07792400531470772,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.019417039161623007,0.33969825611789844,0.07287506313282854,0.049315967005583314,0.06581428670404009,0.10180661712991326,0.1482147326851441,0.2074418563601021,0.26673234649403027,0.27910271626101035,20,20,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,7.465525707679502e-16,0.0002588203235676414,2.696726197037001e-05,1.3536056365793276e-07,2.422170747243064e-07,1.4386731996446062e-06,4.672724508533353e-06,1.1462232735204069e-05,2.1444722225791535e-05,2.681853926103365e-05,0.017279038002016023,0.04575967599885189,0.0041154213675993695,0.01974549329970614,0.0203186855007516,0.02131825425021816,0.022642202500719577,0.02476654825022706,0.028475293200244778,0.031175958497806272
3,49.5,0.017554907232115512,-1.0,-1.0,0.11959706807309503,20.0,1.0534151984534744e-05,0.027452057429909475,0.0003805152082350105,0.07409670203924179,0.016590067015649267,0.0016414470330346376,0.0028226700611412524,0.006628262344747782,0.011289351619780064,0.022845758125185966,0.03807731270790106,0.053627387061715125,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.01950679902585277,0.27220709402813476,0.05730873803343457,0.040514675401648104,0.053128582630025054,0.08140555976723113,0.10624976420797255,0.15112578648443306,0.1950615784835779,0.23157579416005009,20,20,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,7.465525707679502e-16,0.0002588203235676414,2.696726197037001e-05,1.3536056365793276e-07,2.422170747243064e-07,1.4386731996446062e-06,4.672724508533353e-06,1.1462232735204069e-05,2.1444722225791535e-05,2.681853926103365e-05,0.02024618599898531,0.050430375998985255,0.004796815201336599,0.0226898175502356,0.023426409200328634,0.024660147251779563,0.02615984649855818,0.028863171250122832,0.03221796499856283,0.03732113024780119
4,49.5,0.011396809062862303,-1.0,-1.0,0.09494611204049995,20.0,1.0534151984534744e-05,0.031071551350105437,0.0001713443489279598,0.057117611169815063,0.012208114893609491,0.0011313725961372256,0.001896971999667585,0.0031431099050678313,0.007456765044480562,0.013884520623832941,0.025834414549171927,0.03974592704325914,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.013089856719153185,0.2389929102919479,0.04905207366218822,0.03363542462456646,0.043553753472639054,0.056063269549329345,0.08635255287461163,0.11783254230603621,0.16073075856627347,0.1993633823477023,20,20,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,7.465525707679502e-16,0.0002588203235676414,2.696726197037001e-05,1.3536056365793276e-07,2.422170747243064e-07,1.4386731996446062e-06,4.672724508533353e-06,1.1462232735204069e-05,2.1444722225791535e-05,2.681853926103365e-05,0.023128249998990213,0.054736484999011736,0.005429261816158395,0.0256292342011875,0.026486130202465576,0.027768635251959495,0.02954868100096064,0.03286904625201714,0.03736888009843825,0.04275928204933734
5,49.5,0.008061857931315898,-1.0,-1.0,0.07912625123752542,20.0,1.0534151984534744e-05,0.03460489197026618,0.000492108752951026,0.04627597704529762,0.009597939545739105,0.0009282537241233513,0.0014953934587538242,0.0025464706122875214,0.004521082388237119,0.008622086839750409,0.01834800001233817,0.03140384070575237,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.022183524358203904,0.2151185186014854,0.042650734435538316,0.030466810413292533,0.03866287763194055,0.05046159289467084,0.06723896132993439,0.09285267081636885,0.13545037853393763,0.17721094876794483,20,20,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,7.465525707679502e-16,0.0002588203235676414,2.696726197037001e-05,1.3536056365793276e-07,2.422170747243064e-07,1.4386731996446062e-06,4.672724508533353e-06,1.1462232735204069e-05,2.1444722225791535e-05,2.681853926103365e-05,0.025933400000212714,0.05894261900175479,0.006148641853191467,0.028741255049862958,0.029531399601182784,0.03078317924973817,0.03254091199960385,0.036505007001323975,0.04186228629696417,0.04841964809947967
6,49.5,0.006285950372985099,-1.0,-1.0,0.06918414517973426,20.0,1.0534151984534744e-05,0.0380484920600793,0.00038703979225829244,0.038761213421821594,0.007894509366049463,0.0006932969525223597,0.0008462792844511569,0.001823796919779852,0.003480481100268662,0.0069048465229570866,0.0131788400001824,0.025336338672786948,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.019673326923992606,0.19687867690997315,0.03891851664845038,0.026330290809199106,0.02908928499726254,0.04270499976560541,0.05898558971426242,0.0830948978564593,0.1147902361093095,0.15917296342338424,20,20,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,7.465525707679502e-16,0.0002588203235676414,2.696726197037001e-05,1.3536056365793276e-07,2.422170747243064e-07,1.4386731996446062e-06,4.672724508533353e-06,1.1462232735204069e-05,2.1444722225791535e-05,2.681853926103365e-05,0.029009989000769565,0.06304099400222185,0.006761887655368111,0.03163029344887036,0.032629791799990926,0.03358484450109245,0.0355544470003224,0.040176037750825344,0.04684870089986362,0.05298793615038448
7,49.5,0.0049827816069591795,-1.0,-1.0,0.06120996657094237,20.0,1.0534151984534744e-05,0.0414450079001108,0.0003163537767250091,0.033252887427806854,0.0066481094199422,0.00044171278714202347,0.0007472988800145686,0.0013599846279248595,0.0027767730643972754,0.005092389648780227,0.009682738874107609,0.02105403551831841,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.017786336798931057,0.18235374256594475,0.035335643139814805,0.02101696143682967,0.027336758239209454,0.0368779329211229,0.05269227513686291,0.07135928440272593,0.09838725814610891,0.145099199762144,20,20,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,7.465525707679502e-16,0.0002588203235676414,2.696726197037001e-05,1.3536056365793276e-07,2.422170747243064e-07,1.4386731996446062e-06,4.672724508533353e-06,1.1462232735204069e-05,2.1444722225791535e-05,2.681853926103365e-05,0.031846300000324845,0.0670877640004619,0.007198181990249052,0.03441371869830619,0.03554886200181499,0.03672992274914577,0.03872967650022474,0.043798006000542955,0.05060428570031946,0.057284747949961454
8,49.5,0.003985595665726578,-1.0,-1.0,0.054174709953993816,20.0,1.0534151984534744e-05,0.04487713996004459,0.000224953968427144,0.02904736064374447,0.005756855772789073,0.0004911128737148829,0.0007218250597361476,0.001197141275042668,0.001992059056647122,0.0042240016628056765,0.0076300438959151515,0.01768860779702663,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.014998465535752115,0.17043286256982387,0.03257774643456433,0.02215888585554017,0.026860112501926305,0.034598221350692515,0.0446312329342348,0.0649922258857075,0.08734986154985935,0.13299728453246207,20,20,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,7.465525707679502e-16,0.0002588203235676414,2.696726197037001e-05,1.3536056365793276e-07,2.422170747243064e-07,1.4386731996446062e-06,4.672724508533353e-06,1.1462232735204069e-05,2.1444722225791535e-05,2.681853926103365e-05,0.0349638869993214,0.07128156199905789,0.007729177262044635,0.03718371450013365,0.03849448679975467,0.03983781850001833,0.041964395000832155,0.04749296175123163,0.055318647697276915,0.06158798500218835
9,49.5,0.0031937074966845104,-1.0,-1.0,0.04798542801810623,20.0,1.0534151984534744e-05,0.048566186520001796,3.3046118915081024e-05,0.025735104456543922,0.00499683095108465,0.00040754542860668155,0.0005409746430814266,0.0008523323485860601,0.00169695500517264,0.0028857923462055624,0.004827950755134235,0.01488261339254677,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.005748575381351542,0.16042164584788401,0.030001787734673747,0.02018741875052532,0.023258624541548836,0.02919468712703593,0.04118419396004615,0.053719563614319614,0.06944442931035874,0.12199045056880814,20,20,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,7.465525707679502e-16,0.0002588203235676414,2.696726197037001e-05,1.3536056365793276e-07,2.422170747243064e-07,1.4386731996446062e-06,4.672724508533353e-06,1.1462232735204069e-05,2.1444722225791535e-05,2.681853926103365e-05,0.037616756999341305,0.07535862399890902,0.008676366788111251,0.040051241450237286,0.04132145429903176,0.04291969400128437,0.04530089550098637,0.051319695000529464,0.06105375800070761,0.06877400424891675
