iter,repetition,loss,med_percentage_error,mean_percentage_error,mean_Euler_error,optimal_N,var_loss,time,min_loss,max_loss,std_loss,P5_loss,P10_loss,P25_loss,P50_loss,P75_loss,P90_loss,P95_loss,min_med_percentage_error,max_med_percentage_error,std_med_percentage_error,P5_med_percentage_error,P10_med_percentage_error,P25_med_percentage_error,P50_med_percentage_error,P75_med_percentage_error,P90_med_percentage_error,P95_med_percentage_error,min_mean_percentage_error,max_mean_percentage_error,std_mean_percentage_error,P5_mean_percentage_error,P10_mean_percentage_error,P25_mean_percentage_error,P50_mean_percentage_error,P75_mean_percentage_error,P90_mean_percentage_error,P95_mean_percentage_error,min_mean_Euler_error,max_mean_Euler_error,std_mean_Euler_error,P5_mean_Euler_error,P10_mean_Euler_error,P25_mean_Euler_error,P50_mean_Euler_error,P75_mean_Euler_error,P90_mean_Euler_error,P95_mean_Euler_error,min_optimal_N,max_optimal_N,std_optimal_N,P5_optimal_N,P10_optimal_N,P25_optimal_N,P50_optimal_N,P75_optimal_N,P90_optimal_N,P95_optimal_N,min_var_loss,max_var_loss,std_var_loss,P5_var_loss,P10_var_loss,P25_var_loss,P50_var_loss,P75_var_loss,P90_var_loss,P95_var_loss,min_time,max_time,std_time,P5_time,P10_time,P25_time,P50_time,P75_time,P90_time,P95_time
0,49.5,0.47586767986416817,-1.0,-1.0,0.6767326012577937,2.0,7.892502910988558e-07,0.005064456180007255,0.18710219860076904,1.5681588649749756,0.20282768825828937,0.2195160634815693,0.2732053607702255,0.34832290560007095,0.43820223212242126,0.5627207458019257,0.6683323979377747,0.8292899072170258,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.4325531165079834,1.2522615002366622,0.1344673977948763,0.46852180232164103,0.5226650578287715,0.5901885336488282,0.6619653988560861,0.7501460053542683,0.8175157831740456,0.9106529122226593,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.1624724709897625e-17,5.3705810569226745e-05,5.438866069659433e-06,2.6584286558772873e-09,6.214251394946284e-09,1.6027629562308398e-08,6.02544408441948e-08,1.7072988779737467e-07,4.6430102884187416e-07,7.298823666611772e-07,0.003456660997471772,0.011004569998476654,0.0015814602999346765,0.003567607147488161,0.0036042136012838454,0.0039440065002054325,0.004676931499489001,0.005705822250092751,0.006745861797753606,0.008223723697119567
1,49.5,0.01566760611411155,-1.0,-1.0,0.09029098907730701,5.42,7.892502910988558e-07,0.015523075979872373,4.636316225514747e-05,0.30094730854034424,0.03638521272903238,7.39072114811279e-05,0.0003240361693315208,0.0010398752929177135,0.003224448417313397,0.015827673487365246,0.031805554404854816,0.05256710145622488,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.006809050025895497,0.5485866463379729,0.08712665461845305,0.008596928395463539,0.017996182056539186,0.03223876636850656,0.05678407402823704,0.12579490982347108,0.1782895305266007,0.22919603167599403,2,50,6.471663174364394,2.0,2.0,2.0,2.0,8.0,10.0,20.0,3.1624724709897625e-17,5.3705810569226745e-05,5.438866069659433e-06,2.6584286558772873e-09,6.214251394946284e-09,1.6027629562308398e-08,6.02544408441948e-08,1.7072988779737467e-07,4.6430102884187416e-07,7.298823666611772e-07,0.011934610996831907,0.028498137999122264,0.003443170359891694,0.012276881700199738,0.01236019540046982,0.01306846799889172,0.01447916399956739,0.016347663749002095,0.020321882598000232,0.022248651499467084
2,49.5,0.005835016284108861,-1.0,-1.0,0.06231228875656093,5.42,7.892502910988558e-07,0.01897246714004723,6.312345067271963e-05,0.04059362784028053,0.007828535770610715,0.00017701640972518363,0.00032391276035923514,0.0007048784318612888,0.0026438907952979207,0.007355954730883241,0.01670727506279946,0.02145573953166604,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.007945026788672246,0.20147860392677067,0.044406239369908444,0.013304598989393882,0.01799391123843014,0.026548599818808173,0.0513926109830239,0.08572848040654332,0.12925257311056668,0.14647700965255925,2,50,6.471663174364394,2.0,2.0,2.0,2.0,8.0,10.0,20.0,3.1624724709897625e-17,5.3705810569226745e-05,5.438866069659433e-06,2.6584286558772873e-09,6.214251394946284e-09,1.6027629562308398e-08,6.02544408441948e-08,1.7072988779737467e-07,4.6430102884187416e-07,7.298823666611772e-07,0.014766672997211572,0.03601483099919278,0.004043385056348936,0.015166049501749513,0.015541296801166027,0.01629410899749928,0.017632844999752706,0.02035859350235114,0.024203530502200015,0.027029060397944702
3,49.5,0.003920257516874699,-1.0,-1.0,0.051635284849793475,5.42,7.892502910988558e-07,0.022284628990018974,2.703286736505106e-05,0.029454054310917854,0.005515900923887983,0.00014610859143431297,0.0002469930172082968,0.0006817152752773836,0.0018936496344394982,0.00434862682595849,0.010653707105666406,0.017050585150718688,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.005199314124483254,0.17162183518106855,0.03559103955096807,0.012087387606934777,0.01571540321846561,0.026109536138664714,0.04349978026745275,0.06591424302955681,0.10321092018144573,0.1305776144850126,2,50,6.471663174364394,2.0,2.0,2.0,2.0,8.0,10.0,20.0,3.1624724709897625e-17,5.3705810569226745e-05,5.438866069659433e-06,2.6584286558772873e-09,6.214251394946284e-09,1.6027629562308398e-08,6.02544408441948e-08,1.7072988779737467e-07,4.6430102884187416e-07,7.298823666611772e-07,0.01748285199937527,0.041209437000361504,0.004541698630039485,0.018077462750807172,0.01841902679989289,0.019187794498975563,0.02050410049923812,0.023935471000186226,0.027933128401491564,0.03162704424994445
4,49.5,0.002918418418980764,-1.0,-1.0,0.04419496436879799,5.42,7.892502910988558e-07,0.025507850330141083,3.4834679354389664e-06,0.02302291989326477,0.004375951430737373,8.338328207173618e-05,0.00017773732834029944,0.0005699796165572479,0.0014860120136290789,0.0030843380372971296,0.008032456878572708,0.014365687267854808,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.001866405083426148,0.15173305471539408,0.031224562065516204,0.009125968314852574,0.013328666810578236,0.023874240346169563,0.03854726065349494,0.05553595810515391,0.08961796295826202,0.11985646897547274,2,50,6.471663174364394,2.0,2.0,2.0,2.0,8.0,10.0,20.0,3.1624724709897625e-17,5.3705810569226745e-05,5.438866069659433e-06,2.6584286558772873e-09,6.214251394946284e-09,1.6027629562308398e-08,6.02544408441948e-08,1.7072988779737467e-07,4.6430102884187416e-07,7.298823666611772e-07,0.020167042999673868,0.04659756199907861,0.005028713761264835,0.020754658902842494,0.021283769100045903,0.02226281375169492,0.02353225049955654,0.027994595750897133,0.032453112601069735,0.03588838645009673
5,49.5,0.0023168602374244074,-1.0,-1.0,0.03977797179719618,5.42,7.892502910988558e-07,0.0287325701899681,2.7674841476255096e-05,0.018824292346835136,0.003571790012947206,0.00015996221918612719,0.00022874731803312898,0.0003856936455122195,0.001195110206026584,0.0020470679155550897,0.00589447682723403,0.012095631239935754,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.005260688308221187,0.13720164848439373,0.027239550811457465,0.012647551129838314,0.015124158176594083,0.0196390470098258,0.034568146223999674,0.04524434780441388,0.07677549152230796,0.1099797504914539,2,50,6.471663174364394,2.0,2.0,2.0,2.0,8.0,10.0,20.0,3.1624724709897625e-17,5.3705810569226745e-05,5.438866069659433e-06,2.6584286558772873e-09,6.214251394946284e-09,1.6027629562308398e-08,6.02544408441948e-08,1.7072988779737467e-07,4.6430102884187416e-07,7.298823666611772e-07,0.02277483400030178,0.05124556399823632,0.005564618114180066,0.023468926751047548,0.02413935190124903,0.02509342924986413,0.026383084999906714,0.03191215575043316,0.03649913300105254,0.0401331951496104
6,49.5,0.0019145718137860968,-1.0,-1.0,0.03584731163772302,5.42,7.892502910988558e-07,0.031893369100071144,1.0002530871133786e-05,0.015866918489336967,0.0030469835602285993,0.00012925565824843942,0.00017064955609384923,0.0003905752892023884,0.0008925842994358391,0.001782915845979005,0.004695625230669977,0.009994688304141162,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0031626778007147337,0.12596395710415328,0.02521707899148296,0.011369023839511216,0.013063047615209931,0.019762553523021642,0.029876009999692664,0.04222429263873273,0.06852307301878496,0.0999700328218915,2,50,6.471663174364394,2.0,2.0,2.0,2.0,8.0,10.0,20.0,3.1624724709897625e-17,5.3705810569226745e-05,5.438866069659433e-06,2.6584286558772873e-09,6.214251394946284e-09,1.6027629562308398e-08,6.02544408441948e-08,1.7072988779737467e-07,4.6430102884187416e-07,7.298823666611772e-07,0.025413013998331735,0.05555379200086463,0.00601061566111978,0.026258126102766254,0.02676611510141811,0.027850338249663764,0.02931144200010749,0.03502242724971438,0.04028081840115192,0.04410526569899957
7,49.5,0.001549299036305456,-1.0,-1.0,0.03175329159263303,5.42,7.892502910988558e-07,0.03508172265002941,3.41010709234979e-05,0.013672469183802605,0.0026258016917370193,7.918536794022657e-05,0.00012333407721598633,0.00029071164317429066,0.0006632630829699337,0.0012816948583349586,0.003920457139611245,0.008408375084400175,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.005839612223726667,0.11692933414589601,0.02337717762424349,0.008896826808944665,0.011105558686749272,0.017048963814041754,0.02575376138114526,0.035795806788198645,0.06261344101947557,0.09169514790574526,2,50,6.471663174364394,2.0,2.0,2.0,2.0,8.0,10.0,20.0,3.1624724709897625e-17,5.3705810569226745e-05,5.438866069659433e-06,2.6584286558772873e-09,6.214251394946284e-09,1.6027629562308398e-08,6.02544408441948e-08,1.7072988779737467e-07,4.6430102884187416e-07,7.298823666611772e-07,0.02805349899790599,0.05963861499913037,0.006461165139440347,0.02891033070118283,0.02958128530299291,0.03078688650020922,0.03235692999987805,0.0380193880000661,0.0439733510989754,0.04940918659995077
8,49.5,0.001438968102875151,-1.0,-1.0,0.031185519092462012,5.42,7.892502910988558e-07,0.038367415000211624,9.639573363529053e-06,0.011980803683400154,0.002346159764065778,8.313285543408711e-05,0.0001416165687260218,0.00031778674019733444,0.0007307741325348616,0.0011744175280909985,0.003295784234069289,0.00784173090942204,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0031047662333143623,0.1094568576353266,0.021705827123609897,0.009117089740113889,0.011900264517702356,0.01782656995920625,0.027032781018903565,0.0342694683557605,0.05740786920060625,0.08855353669608929,2,50,6.471663174364394,2.0,2.0,2.0,2.0,8.0,10.0,20.0,3.1624724709897625e-17,5.3705810569226745e-05,5.438866069659433e-06,2.6584286558772873e-09,6.214251394946284e-09,1.6027629562308398e-08,6.02544408441948e-08,1.7072988779737467e-07,4.6430102884187416e-07,7.298823666611772e-07,0.03065860700007761,0.0642769820005924,0.006972687934075702,0.03165510665003239,0.03223196959879715,0.03376320974984992,0.035429214000032516,0.04180877199905808,0.04816534489982587,0.05380621744989185
9,49.5,0.0012558629279374146,-1.0,-1.0,0.02896816298207101,5.42,7.892502910988558e-07,0.041723528540096595,5.564185994444415e-05,0.010638055391609669,0.00210916398854627,0.00010085993344546295,0.00012781653931597247,0.000303173583233729,0.0005260522593744099,0.0010667958995327353,0.002533040125854323,0.0069333993596956125,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.007459347152696686,0.10314094915022679,0.0205162773855097,0.010042785607157318,0.01130559360488686,0.01741187590578071,0.022932463580759496,0.03266157557891973,0.05023074432782113,0.08326669591499469,2,50,6.471663174364394,2.0,2.0,2.0,2.0,8.0,10.0,20.0,3.1624724709897625e-17,5.3705810569226745e-05,5.438866069659433e-06,2.6584286558772873e-09,6.214251394946284e-09,1.6027629562308398e-08,6.02544408441948e-08,1.7072988779737467e-07,4.6430102884187416e-07,7.298823666611772e-07,0.033260254000197165,0.07184394800060545,0.007614058518991254,0.03433657010118622,0.03489800289971754,0.03658787700078392,0.038533797500349465,0.04593144424870843,0.05249634980100382,0.057755147451462104
