iter,repetition,loss,med_percentage_error,mean_percentage_error,mean_Euler_error,optimal_N,var_loss,time,min_loss,max_loss,std_loss,P5_loss,P10_loss,P25_loss,P50_loss,P75_loss,P90_loss,P95_loss,min_med_percentage_error,max_med_percentage_error,std_med_percentage_error,P5_med_percentage_error,P10_med_percentage_error,P25_med_percentage_error,P50_med_percentage_error,P75_med_percentage_error,P90_med_percentage_error,P95_med_percentage_error,min_mean_percentage_error,max_mean_percentage_error,std_mean_percentage_error,P5_mean_percentage_error,P10_mean_percentage_error,P25_mean_percentage_error,P50_mean_percentage_error,P75_mean_percentage_error,P90_mean_percentage_error,P95_mean_percentage_error,min_mean_Euler_error,max_mean_Euler_error,std_mean_Euler_error,P5_mean_Euler_error,P10_mean_Euler_error,P25_mean_Euler_error,P50_mean_Euler_error,P75_mean_Euler_error,P90_mean_Euler_error,P95_mean_Euler_error,min_optimal_N,max_optimal_N,std_optimal_N,P5_optimal_N,P10_optimal_N,P25_optimal_N,P50_optimal_N,P75_optimal_N,P90_optimal_N,P95_optimal_N,min_var_loss,max_var_loss,std_var_loss,P5_var_loss,P10_var_loss,P25_var_loss,P50_var_loss,P75_var_loss,P90_var_loss,P95_var_loss,min_time,max_time,std_time,P5_time,P10_time,P25_time,P50_time,P75_time,P90_time,P95_time
0,49.5,0.4893591575324535,-1.0,-1.0,0.6864928650454141,2.0,0.0001057689361523444,0.0027266587900066953,0.20309458673000336,1.6717274188995361,0.20810266210760653,0.23089186772704123,0.28254033625125885,0.3623303696513176,0.45205478370189667,0.5740687251091003,0.6873486518859864,0.8424267023801802,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.45066016767626954,1.2929529840251486,0.13516433609391734,0.4804953737847897,0.5315118720979011,0.6019375788587136,0.672349867278555,0.7576732306607462,0.8290649014772192,0.9178314924035695,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9713786514330423e-07,0.003186752647161484,0.00034452073902980454,7.628802200088104e-07,2.3385660642816224e-06,9.084069097298199e-06,2.9956622165627776e-05,6.193038861965761e-05,0.00020158667815849214,0.000397503888234496,0.0019884699995600386,0.0060197500006324844,0.0008212591000567842,0.002050403500061293,0.0020742190000419213,0.0021843322499535134,0.002378699500241055,0.003056336749750699,0.003717372999835789,0.004057947499813962
1,49.5,0.3937806361913681,-1.0,-1.0,0.6174635929725588,2.0,0.0001057689361523444,0.011817962520008224,0.14865247905254364,0.9209950566291809,0.14707045142197145,0.20281245037913323,0.2265961304306984,0.2908112034201622,0.3740905523300171,0.4673204645514488,0.5679530143737793,0.6948216408491135,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3855547679027503,0.9596848736065298,0.11245357086724386,0.4503404045964825,0.47601524783063837,0.5392691372334999,0.611627823744772,0.6836080925994716,0.7536263589758987,0.8335593517538328,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9713786514330423e-07,0.003186752647161484,0.00034452073902980454,7.628802200088104e-07,2.3385660642816224e-06,9.084069097298199e-06,2.9956622165627776e-05,6.193038861965761e-05,0.00020158667815849214,0.000397503888234496,0.009267209999961779,0.039239075999830675,0.003515296507901916,0.009525175049930112,0.009803640999598429,0.01027727399991818,0.010847814499811648,0.012109398999655241,0.014768128999730835,0.015974255449646074
2,49.5,0.32510514348745345,-1.0,-1.0,0.5618061460226358,2.0,0.0001057689361523444,0.013872268160021121,0.12733657658100128,0.681880533695221,0.1154404274167298,0.17424194887280464,0.18668399304151534,0.2429099790751934,0.30607177317142487,0.38230177760124207,0.4757899045944214,0.5653144866228103,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.35684250949263496,0.8257605789181396,0.09785062713624208,0.4174220164283452,0.43206418637936644,0.49285813361885306,0.5532361362509837,0.6183054776489603,0.6897752563596183,0.7518665520675393,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9713786514330423e-07,0.003186752647161484,0.00034452073902980454,7.628802200088104e-07,2.3385660642816224e-06,9.084069097298199e-06,2.9956622165627776e-05,6.193038861965761e-05,0.00020158667815849214,0.000397503888234496,0.010988809999616933,0.043429835999631905,0.003792574482289062,0.011307380500602449,0.011500540999895748,0.012217338249683962,0.012981808999484201,0.014200135749433684,0.016612481999891317,0.01806450900016898
3,49.5,0.2708557714521885,-1.0,-1.0,0.512192937412721,2.0,0.0001057689361523444,0.01608483199996044,0.0858726054430008,0.5754980444908142,0.09859197242178135,0.1401844836771488,0.15394528061151505,0.19693534821271896,0.256593257188797,0.3142642453312874,0.3977540314197541,0.4321971967816352,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2930402795572663,0.7586158741357936,0.09273709072794913,0.3744115675870741,0.3923586022100128,0.4437668694646362,0.5065502203285477,0.5605926264903272,0.6306760906824628,0.6574037346541475,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9713786514330423e-07,0.003186752647161484,0.00034452073902980454,7.628802200088104e-07,2.3385660642816224e-06,9.084069097298199e-06,2.9956622165627776e-05,6.193038861965761e-05,0.00020158667815849214,0.000397503888234496,0.01280000899987499,0.04731682500005263,0.0041895168216315795,0.01315143254951181,0.01342982500036669,0.01420116575013708,0.014923044000170194,0.01643652825009667,0.019337472999632156,0.022354140449442634
4,49.5,0.23011301279067994,-1.0,-1.0,0.47191867803112464,2.0,0.0001057689361523444,0.01813862893003716,0.07989581674337387,0.5065683722496033,0.08447305596527248,0.11564716398715973,0.12940599918365478,0.17142367362976074,0.21836092323064804,0.2684708535671234,0.3412852436304093,0.3673697918653488,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2826584807561483,0.7117361675857166,0.08649034579181386,0.3400693203808559,0.3597300213666869,0.41398199674528047,0.46729078488793135,0.5181314343809847,0.5841929224678842,0.6061025411696156,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9713786514330423e-07,0.003186752647161484,0.00034452073902980454,7.628802200088104e-07,2.3385660642816224e-06,9.084069097298199e-06,2.9956622165627776e-05,6.193038861965761e-05,0.00020158667815849214,0.000397503888234496,0.014436839000154578,0.05110724499991193,0.004399109154929135,0.014910356449672691,0.015182717899824638,0.016048946499495287,0.017013413500535535,0.018469043750428682,0.021220197000002373,0.024174562999587573
5,49.5,0.1987736853584647,-1.0,-1.0,0.43781093588029646,2.0,0.0001057689361523444,0.02009354299003462,0.05946698412299156,0.43913665413856506,0.07563280734103932,0.0903068270534277,0.10483820959925652,0.1389251910150051,0.19056672602891922,0.2373533807694912,0.2931723326444626,0.31969459354877466,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.24385853301246516,0.6626738671009783,0.08465777680651594,0.3005062888201679,0.3237872413528856,0.37272565995342555,0.4365394644227802,0.4871892654715724,0.5414539042157782,0.5654097607054736,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9713786514330423e-07,0.003186752647161484,0.00034452073902980454,7.628802200088104e-07,2.3385660642816224e-06,9.084069097298199e-06,2.9956622165627776e-05,6.193038861965761e-05,0.00020158667815849214,0.000397503888234496,0.016238518999671214,0.05473992499992164,0.00460104160490334,0.016845993550168713,0.017246771900045133,0.01784544400015875,0.01879797800029337,0.020530313750441564,0.023278126999957748,0.026378565499771862
6,49.5,0.1732167622447014,-1.0,-1.0,0.4078774660396519,2.0,0.0001057689361523444,0.022001882789954835,0.04410642012953758,0.38839784264564514,0.06878656787478458,0.07680872566998005,0.0914110504090786,0.12355055846273899,0.16623300313949585,0.2159082554280758,0.2566400825977326,0.27579286694526667,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.21001528546640977,0.6232157272130134,0.08319828415682846,0.2771430071791735,0.3023127196100666,0.3514928785114214,0.4077164678049956,0.4646592879894072,0.5065960974297052,0.5251276195021752,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9713786514330423e-07,0.003186752647161484,0.00034452073902980454,7.628802200088104e-07,2.3385660642816224e-06,9.084069097298199e-06,2.9956622165627776e-05,6.193038861965761e-05,0.00020158667815849214,0.000397503888234496,0.017639009000049555,0.0582219449997865,0.004824702576797248,0.018525638499977504,0.018923706999885326,0.019657368000252973,0.020756818500558438,0.022624900500204603,0.025229089999811556,0.028664343499576715
7,49.5,0.1539362468943,-1.0,-1.0,0.3840865886689365,2.0,0.0001057689361523444,0.023980873989949032,0.03373478725552559,0.3637230098247528,0.06280857043360198,0.07114370539784431,0.07970561757683754,0.10994056425988674,0.14935016632080078,0.19527779147028923,0.22468692064285284,0.24252440631389607,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1836703221958452,0.60309452810049,0.08048928217100192,0.2667257359882207,0.2823217836896562,0.3315599100956472,0.3864584904832482,0.4419022204866721,0.47400793040347594,0.4924095055243653,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9713786514330423e-07,0.003186752647161484,0.00034452073902980454,7.628802200088104e-07,2.3385660642816224e-06,9.084069097298199e-06,2.9956622165627776e-05,6.193038861965761e-05,0.00020158667815849214,0.000397503888234496,0.019066658999690844,0.06157362500016461,0.004958018056288296,0.02041529099979016,0.020719613000619575,0.021575560499741187,0.022861818500132358,0.024658324749680105,0.02717986299940094,0.030887157500092143
8,49.5,0.1365991910547018,-1.0,-1.0,0.3616636845745246,2.0,0.0001057689361523444,0.025934186320000663,0.037624526768922806,0.3343122899532318,0.056986555248274576,0.05946736298501491,0.07068880423903465,0.09894349053502083,0.1294717639684677,0.1725797839462757,0.19957829266786578,0.2275862962007522,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.19397042756287053,0.5781974489335212,0.0765319654262232,0.24384469991774935,0.2658595221496091,0.31455239426057946,0.35982064492384935,0.4154272224218274,0.44673922759332557,0.47701834824952544,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9713786514330423e-07,0.003186752647161484,0.00034452073902980454,7.628802200088104e-07,2.3385660642816224e-06,9.084069097298199e-06,2.9956622165627776e-05,6.193038861965761e-05,0.00020158667815849214,0.000397503888234496,0.020424428999831434,0.06519519399989804,0.005225618996626013,0.021876952499360412,0.022413364000021828,0.023475185499592044,0.02474155800018707,0.026522112250177088,0.029518501900020058,0.033024378450090805
9,49.5,0.1228946202993393,-1.0,-1.0,0.34181586722093604,2.0,0.0001057689361523444,0.02774388034998992,0.01967022940516472,0.2972545921802521,0.05390376387478877,0.04417335670441389,0.05908529832959175,0.08487325720489025,0.11845874786376953,0.15736178308725357,0.18298451751470568,0.21008987277746194,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.14025059502606296,0.5452105943397029,0.07821579328066659,0.21015697859424942,0.243074667641531,0.2913301455053694,0.344177104405063,0.39668827954774094,0.4277664461215854,0.45832199219192293,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9713786514330423e-07,0.003186752647161484,0.00034452073902980454,7.628802200088104e-07,2.3385660642816224e-06,9.084069097298199e-06,2.9956622165627776e-05,6.193038861965761e-05,0.00020158667815849214,0.000397503888234496,0.02174602800005232,0.068700243999956,0.005436160039583375,0.023438632499573942,0.024245922999671165,0.025139653000223916,0.026386753000224417,0.028401787250004418,0.031572479999886126,0.034836187999781026
