iter,repetition,loss,mean_Euler_error,optimal_N,var_loss,time,min_loss,max_loss,std_loss,P5_loss,P10_loss,P25_loss,P50_loss,P75_loss,P90_loss,P95_loss,min_mean_Euler_error,max_mean_Euler_error,std_mean_Euler_error,P5_mean_Euler_error,P10_mean_Euler_error,P25_mean_Euler_error,P50_mean_Euler_error,P75_mean_Euler_error,P90_mean_Euler_error,P95_mean_Euler_error,min_optimal_N,max_optimal_N,std_optimal_N,P5_optimal_N,P10_optimal_N,P25_optimal_N,P50_optimal_N,P75_optimal_N,P90_optimal_N,P95_optimal_N,min_var_loss,max_var_loss,std_var_loss,P5_var_loss,P10_var_loss,P25_var_loss,P50_var_loss,P75_var_loss,P90_var_loss,P95_var_loss,min_time,max_time,std_time,P5_time,P10_time,P25_time,P50_time,P75_time,P90_time,P95_time
0,9.5,0.16291538812220097,0.39620438117975587,2.0,0.0005096087535275728,0.005389538649978931,0.07039708644151688,0.304904043674469,0.06606114267277771,0.08949073925614356,0.0914195016026497,0.12130354344844818,0.1519422084093094,0.18605311587452888,0.27554047107696533,0.29294191002845765,0.2653244927282758,0.5521811692501556,0.07905678476271716,0.29904995525690303,0.30235614944093975,0.3482663028607049,0.38977980264839146,0.4313048439476009,0.5248931821204524,0.5412352576117504,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.111610519932583e-06,0.0025591853260993956,0.0007112818469453251,9.16865506587783e-06,1.5991339110769335e-05,6.004036404192448e-05,0.0001541581889614463,0.000599532537162304,0.001584410130977631,0.0017825405970215804,0.004237436000039452,0.006586333000086597,0.0006438290828557236,0.004417048700111082,0.004438832000278126,0.004951349499947355,0.005418671499910488,0.0059225180000339606,0.005985124700055167,0.006144398700234888
10,9.5,0.007086105889175087,0.0781095040235487,2.0,2.079476133189928e-07,0.05851426250003442,0.0013170517049729824,0.01806287094950676,0.00525400838440508,0.00136328122462146,0.0015480602509342135,0.002287789830006659,0.0059758336283266544,0.011338131502270699,0.013764363061636687,0.014464854914695027,0.03629120699250691,0.1343981806034098,0.032200216906270354,0.03692235446153403,0.03933738570291944,0.04783077304952313,0.07729658266212022,0.10646115534955422,0.11731941164422242,0.12022596965628289,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.592018975316023e-08,7.377483416348696e-07,1.96701250921138e-07,1.9903515124042316e-08,2.796262174342701e-08,6.26575013029651e-08,1.3229855085228338e-07,2.9459456072800096e-07,4.208260252198673e-07,5.966181106487057e-07,0.053627645000233315,0.06514529700007188,0.003802503595393138,0.05403260150017104,0.054261801500297226,0.05493585325007189,0.057506798500071454,0.061282802749815346,0.06390981730028215,0.06477591800016853
20,9.5,0.0020081800728803502,0.043832863485987986,2.0,3.382324337053433e-08,0.11091706380009328,0.0007252251962199807,0.003532293252646923,0.0008300330279045418,0.0007754514925181865,0.0009085213241633028,0.0014989771298132837,0.0017085642321035266,0.0026832715375348926,0.0030499253887683155,0.00313991173170507,0.026930005499813413,0.0594330989655337,0.009561994479191881,0.027846136519132366,0.03013245357765725,0.03871660610037423,0.041334309111004344,0.051799629035722695,0.05522573713074208,0.056029474500337885,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.10279267776059e-09,1.524174695077818e-07,3.546753208803833e-08,2.8859360554633894e-09,3.2855070912773954e-09,1.0589633347990458e-08,2.450967713230057e-08,4.5971614781592504e-08,6.26390733486915e-08,8.968820293375761e-08,0.10119598000028418,0.13091210100037642,0.008721666471784462,0.10146703875011553,0.10221602180022274,0.10404551475028256,0.10850353149999137,0.11667356825000752,0.12439529290018073,0.12501880924994566
30,9.5,0.0010754948933026753,0.03193439667920935,2.0,6.767834953791407e-09,0.16236088939999718,0.0002734459121711552,0.0021488196216523647,0.00047274081273629534,0.000326142089033965,0.0004874633305007592,0.000708248553564772,0.0011650329688563943,0.0012850418570451438,0.001616006763651967,0.0016884100623428826,0.016536200052344407,0.046355362382925716,0.0076563837855174646,0.018056038184812058,0.02204018438724855,0.026605623225808034,0.03413052155196257,0.03584140024579805,0.040199096951489564,0.04107238883974231,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9177603860498495e-09,3.470282990747364e-08,7.3664048977858174e-09,2.427813647898347e-09,2.5130287610863886e-09,2.8986511324546882e-09,4.051024831142059e-09,7.677478635059743e-09,1.002387949711193e-08,1.6413114849456192e-08,0.14841763200001878,0.19759667100015577,0.013097636146189282,0.1502640016499072,0.15056164680031542,0.1518229372499036,0.1578399399998034,0.16862745674973212,0.17826645090008242,0.1819759891501235
40,9.5,0.0007172640529461205,0.025827993218628532,2.0,3.576858453868681e-09,0.21561384079998333,0.00010020099580287933,0.0015097677242010832,0.0003612245397728923,0.0001839097385527566,0.0002936916745966301,0.0004430162443895824,0.0006347921735141426,0.0009540864848531783,0.0011123436968773605,0.0011766429874114695,0.010010044745298562,0.03885572961869437,0.007267723834265925,0.01353716992208692,0.017100412152797256,0.021047920655804592,0.02518501726785428,0.030885718562115243,0.033351013100517524,0.03428620731332881,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.429134285530381e-10,1.7906529592437437e-08,3.9075476305928166e-09,7.647264901322615e-10,8.971853162620392e-10,1.3227274209270946e-09,2.6915414252925986e-09,3.903737493260451e-09,5.5510910215161916e-09,9.51768251411523e-09,0.19470890599995982,0.26018715999998676,0.018636161127710268,0.19861942710008407,0.19975964830027806,0.20178436224989582,0.2065319040000304,0.22605383674999757,0.23857907749988955,0.2488791047999257
50,9.5,0.0005927608428464737,0.02326724940479672,2.0,2.545223509287098e-09,0.2700759765500379,0.00017850182484835386,0.0012121887411922216,0.00036262939837519134,0.0002338702564884443,0.00023792556748958305,0.0003074745836784132,0.00042024676804430783,0.0009529221861157566,0.0011451253201812505,0.0011697855719830842,0.013360457508946086,0.03481650099007971,0.007355338053089163,0.015286432740536095,0.01542483112132218,0.01752608976744205,0.0204928668865585,0.030869044127833808,0.03383952160914614,0.03420183748253354,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.107542560584989e-10,8.326751412823797e-09,1.7947059916213764e-09,7.17803292360486e-10,9.594784629030074e-10,1.4662144209864893e-09,2.1026094998433108e-09,3.6812846815337253e-09,4.305804679916037e-09,4.617318481336955e-09,0.2418206420002207,0.33406046400023115,0.023826551010816984,0.24894045310038565,0.24974633940000784,0.25425136425008077,0.25911503249994894,0.2808625612500464,0.3001396502002535,0.3097956998502241
60,9.5,0.00045673545191675656,0.019346531690782365,2.0,2.2030119559701687e-09,0.3226019023999697,1.9266317394794896e-05,0.0015307532157748938,0.0004133969740424308,7.624153931828914e-05,9.562085760990159e-05,0.00015575869474560022,0.0002879069361370057,0.0007090672297636047,0.0009925400256179274,0.0010289969970472162,0.004389341339517228,0.0391248414153322,0.009315926569410174,0.008676080589901096,0.00977426522222019,0.012479923764852918,0.01694116845245952,0.02653925770617348,0.031504558594690764,0.032036740228967846,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.039494676064351e-10,5.255747623778006e-09,1.2618790895973095e-09,7.45470757124167e-10,1.0474006373328848e-09,1.3525907860412188e-09,1.7867674984017866e-09,2.9916041199840036e-09,3.2895163428747792e-09,4.949799233600061e-09,0.28832322800008114,0.3927865539999402,0.029005864853411008,0.29636310460034565,0.29847079050014147,0.30385286449973137,0.3093115334997947,0.33668827874998897,0.36484691829996335,0.3734095978002642
70,9.5,0.00038900150648260026,0.017401586122196867,2.0,1.7060892751885602e-09,0.37590039584999885,6.609962292714044e-05,0.0012750005116686225,0.00039097396416125325,8.421219790761824e-05,9.215963291353546e-05,0.00015330441965488717,0.0002096865719067864,0.0003784487853408791,0.0010569157544523479,0.0011728167824912818,4.978291778191563e-19,0.035707149307507347,0.009340422945907218,0.00876708936438988,0.009599185726598132,0.012379700738665216,0.014479117520804077,0.01939719707420242,0.03250551851229153,0.0342447693371647,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.6823211025403e-10,5.92483843320224e-09,1.2335121493096868e-09,6.850938483182744e-10,7.554303707024701e-10,9.609918549813302e-10,1.412704833114731e-09,1.873537485153065e-09,2.9411366995191213e-09,3.5939917495397836e-09,0.3351155620002828,0.44920120699998733,0.034027125893210136,0.3439942629501047,0.34723390680010197,0.35267352924972784,0.3594857284997488,0.3919647154998529,0.430303485200011,0.4336414496002135
80,9.5,0.0003525572081343853,0.016230561120776123,2.0,1.92276541177705e-09,0.42916486265000914,1.3494536688085645e-06,0.0010370321106165648,0.0003757800735891264,4.73351676191669e-05,5.654639462591149e-05,8.899425665731542e-05,0.0001950204314198345,0.0004834196442971006,0.0009892481844872238,0.0010099072474986314,0.0011616598765596428,0.03220298294594097,0.009685914561015956,0.00675915083328015,0.007518140273346136,0.009417179322456533,0.013928002196885184,0.021539371270794243,0.031452152357698375,0.03177888892656879,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.551995130304021e-10,1.3868364021618618e-08,2.9213232413836994e-09,6.601982232012915e-10,7.126824925762776e-10,8.179947741382421e-10,1.044437212271987e-09,1.5422470767134654e-09,2.9978847919665e-09,4.314050940479327e-09,0.3816296630002398,0.5059811170003741,0.039480663993623544,0.39180646200013597,0.39466773879980793,0.4005075632499029,0.40784038000015244,0.452590975000021,0.4915709330999562,0.49741001180020705
90,9.5,0.0002844080739123456,0.014183072743210068,2.0,2.3236893014200177e-09,0.48310936800005494,5.3243074944475666e-06,0.001076292130164802,0.00033375888720477343,3.540592124409159e-05,3.974106730311178e-05,7.367132457147818e-05,0.0001585216959938407,0.0002591910888440907,0.0008412504044827076,0.0010021363792475314,3.724072390240172e-19,0.032806891504145924,0.009256523348116021,0.002192073792950166,0.005926175744143487,0.008579510821799901,0.012450115901872652,0.01608389618408689,0.028991330925608624,0.03165543551463853,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.07774053915e-10,2.075657675959519e-08,4.433107369363309e-09,5.850051536526735e-10,6.885177263882269e-10,8.858027022995429e-10,1.1644164743529472e-09,1.3843847312955405e-09,3.583098475701264e-09,5.017722429556682e-09,0.42856885700030034,0.5630669269999089,0.04553404246409083,0.43866926935015726,0.4435446507000961,0.4485344732499925,0.4561136200002238,0.5174097362497605,0.5534827407001558,0.5629713303999779
