iter,repetition,loss,mean_Euler_error,optimal_N,var_loss,time,min_loss,max_loss,std_loss,P5_loss,P10_loss,P25_loss,P50_loss,P75_loss,P90_loss,P95_loss,min_mean_Euler_error,max_mean_Euler_error,std_mean_Euler_error,P5_mean_Euler_error,P10_mean_Euler_error,P25_mean_Euler_error,P50_mean_Euler_error,P75_mean_Euler_error,P90_mean_Euler_error,P95_mean_Euler_error,min_optimal_N,max_optimal_N,std_optimal_N,P5_optimal_N,P10_optimal_N,P25_optimal_N,P50_optimal_N,P75_optimal_N,P90_optimal_N,P95_optimal_N,min_var_loss,max_var_loss,std_var_loss,P5_var_loss,P10_var_loss,P25_var_loss,P50_var_loss,P75_var_loss,P90_var_loss,P95_var_loss,min_time,max_time,std_time,P5_time,P10_time,P25_time,P50_time,P75_time,P90_time,P95_time
0,9.5,0.1491099201142788,0.3558579190265982,100.0,0.008657992702842964,0.006307544149603927,0.016592442989349365,0.6483191847801208,0.14152550083099197,0.028106026351451874,0.04153752997517586,0.06633402220904827,0.11865329369902611,0.15358427539467812,0.2758700221776963,0.3207582548260691,0.12881165703984002,0.8051827027328151,0.15381144157132912,0.1674144440589755,0.2034913847770588,0.25754610544707135,0.3444132989328517,0.39185024821509334,0.5251630996484942,0.5636377560294987,100,100,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.20480484914298e-05,0.05133994054312658,0.013422625177436415,9.034856371205263e-05,0.0001682587970386852,0.00036181464941814693,0.00435512581256905,0.008158981053516118,0.0296142991191209,0.03281440287888654,0.005127087999426294,0.007174163998570293,0.0005781536132232851,0.00536586575108231,0.00555647909968684,0.005863604001206113,0.006465653998020571,0.006669067001894291,0.006971466199684074,0.00714299259816471
10,9.5,0.02667716572468635,0.1365839317520326,100.0,0.00018762377257261313,0.07118909709988656,0.0006977684679441154,0.10349640250205994,0.030764578379711246,0.0011529775947565213,0.0014044270035810768,0.0026525698485784233,0.013873760588467121,0.03955669794231653,0.08252921923995019,0.08421009927988053,0.02641530745503666,0.3217085676541113,0.09189235872156673,0.03391194075492161,0.03746093164259392,0.05134359643755404,0.1177817470722364,0.1988827766095619,0.2872787332265266,0.29009914190273844,100,100,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.0872077180279626e-06,0.0010537325733839863,0.00029170848315844566,3.6572870337451344e-06,1.1330882482456439e-05,1.9287795505740427e-05,7.130299553726659e-05,0.0001548943766439804,0.0006295258059646146,0.0007963835639182969,0.061707980999926804,0.09012000399889075,0.008047657994571049,0.06300897465134767,0.06357336330256658,0.06586492975020519,0.0681049279992294,0.07510859474859899,0.08155302640006995,0.08684003589805799
20,9.5,0.006091357959667221,0.06886618131406855,100.0,4.489963738285381e-05,0.1332992955500231,0.0010918393963947892,0.034165870398283005,0.00783240171978795,0.001453159551601857,0.0016157830250449479,0.0020397974003572017,0.0035189316840842366,0.006567316246218979,0.013862014003098017,0.01834486797451974,0.033042993151268685,0.18484012118120624,0.037680192072438404,0.03810265312038287,0.040192208968398084,0.045154404962712134,0.05931671142624101,0.08099434375724557,0.11763506606436919,0.13495893304932408,100,100,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,6.952026219229505e-07,0.0003895337413055728,9.327122178338595e-05,7.274714768911251e-07,1.1287525606652103e-06,2.7882578698071568e-06,5.664085273188774e-06,2.856360240416093e-05,0.0001049841798917213,0.00019321772666892634,0.11894715000016731,0.17100049500004388,0.013999104289354209,0.12020129630236624,0.12047903620041325,0.12382124200121325,0.12883978600075352,0.1357731270009026,0.15487582570021913,0.15679955869927653
30,9.5,0.004506694985320791,0.060494000956110947,100.0,1.1437578889955248e-05,0.19604640060060774,0.000460331910289824,0.016130805015563965,0.004534266933545136,0.00106869917945005,0.001214805745985359,0.0015707527927588671,0.0023909140145406127,0.005430265329778194,0.012479692604392769,0.013608706789091232,0.021455346892786983,0.12700710616167887,0.029862330321922634,0.03259099151318636,0.03484960444443501,0.03962507829367749,0.048799924439863515,0.07359877806491352,0.1117029903422963,0.11663207732672755,100,100,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.0795338606142034e-07,9.909670762341432e-05,2.2181738154479242e-05,7.554814936781321e-07,1.185834003292551e-06,2.285289822729549e-06,4.064428121453584e-06,8.502639830112457e-06,2.2880749419482083e-05,3.663468993071358e-05,0.17360910400020657,0.257044178997603,0.021250221976165395,0.17736109860234137,0.17837863310123794,0.18138062649995845,0.18938801900003455,0.1992693300026076,0.22217108219992954,0.23493761250119863
40,9.5,0.002558093875995837,0.04641659712591653,100.0,6.820896346441875e-06,0.26008920419972126,0.0002989631611853838,0.009580341167747974,0.00232143544108647,0.000332463247468695,0.0005612569628283382,0.0011668516381178051,0.00204434001352638,0.0030297436751425266,0.004795955261215571,0.007318137492984535,0.01729055121114951,0.09787921724118953,0.02061152940637056,0.018232294686441983,0.023623848188419828,0.03414756587929429,0.04518502354917947,0.055034409931987556,0.06905240919980132,0.08549895086185588,100,100,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.7474753537563363e-07,6.755757211434721e-05,1.5120995845374131e-05,2.1948213947729931e-07,3.7063535472208804e-07,7.035690736063201e-07,2.6148548255665135e-06,4.483970408939352e-06,9.133923159103223e-06,2.4807680661630183e-05,0.23036453399981838,0.33843478500057245,0.02575289129539756,0.23758263874860858,0.23820319000005838,0.24650509875027637,0.2524964035001176,0.2642994597508732,0.28971258699784813,0.3050256039514352
50,9.5,0.001851945229282137,0.04111363554012189,100.0,2.1787624811457303e-06,0.3221776243501154,0.00032185306190513074,0.0045341444201767445,0.001086206081454429,0.0004412769063492306,0.0005815437412820757,0.0010664552100934088,0.0017397436895407736,0.0027500064461492,0.0029792237794026735,0.0031981776701286444,0.017940263707792333,0.06733605587036372,0.013043013937945302,0.020994899656142586,0.024095302065563623,0.032602151371747275,0.04168186019118553,0.05243999107962283,0.05458041967803307,0.05649774412400674,100,100,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,7.077407755070564e-08,2.3110740714603e-05,5.111684426710695e-06,9.776151185206166e-08,1.1839695049054696e-07,2.5970192221604815e-07,6.864304099269588e-07,1.261232825315962e-06,3.5311048756344183e-06,6.435423186331096e-06,0.2898416009993525,0.4196441259991843,0.03148713780363756,0.2951664858990625,0.3000150359017425,0.3032370032497056,0.31191514000056486,0.32706383149889007,0.3512259506995179,0.37973380519997596
60,9.5,0.0015922974904242436,0.03647915633884168,100.0,1.9858348244481315e-06,0.3826094830999864,0.00017195647524204105,0.005124643445014954,0.0013808092314903865,0.00020793790245079435,0.0004172326094703749,0.0006194065208546817,0.0009242350934073329,0.0020939188543707132,0.0035664945142343646,0.0039714828599244365,0.013113217577774002,0.07158661498503022,0.01659323398035889,0.014416949872084712,0.02033306093833772,0.02485262097707065,0.03040043149975175,0.04569529409514883,0.05971271774931155,0.0629888262301088,100,100,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.951883286162458e-08,1.0085364032273341e-05,2.6412737242640244e-06,1.36023235620197e-07,2.311342972039123e-07,3.628321274211913e-07,6.624265818508586e-07,2.40337470489921e-06,5.179876743844063e-06,6.3644455501226485e-06,0.3467054579996329,0.5000308919989038,0.03681159332253431,0.3511868274501467,0.3584185222014639,0.3621220654986246,0.3709025795014895,0.3834972474978713,0.4185137579992443,0.4505204298009631
70,9.5,0.001403684255637927,0.033480646603680504,100.0,1.9727711889756413e-05,0.4418543492500248,0.00011710857506841421,0.006494033150374889,0.0014792930980889627,0.00012204486629343591,0.00013299022248247638,0.0005554770687012933,0.0009047325002029538,0.001610453036846593,0.0028075912967324263,0.0033072063466534044,0.010821671546873626,0.08058556415621156,0.01725140905419442,0.01104727059562079,0.011531065732943267,0.023552493119556414,0.030077714906926314,0.040098404575894114,0.05297692789814177,0.05725877618288006,100,100,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.801977392888129e-08,0.00038442062609123464,8.584322353809637e-05,5.289605545877206e-08,5.567680827972263e-08,8.245807486783826e-08,1.9206450264336484e-07,8.039303697796181e-07,2.517534062416867e-06,2.179592172380075e-05,0.40294349000032526,0.5818518630003382,0.0422648270443758,0.4047202331978042,0.41444050330028404,0.4198341765004443,0.42850475500199536,0.44072544850041595,0.4795402728977934,0.5196487785517093
80,9.5,0.002104530584620079,0.03522329088330366,100.0,6.375475502202541e-07,0.5023129590997997,0.0001675675594015047,0.023038655519485474,0.004999244760393944,0.00022239252939471044,0.00026111962215509267,0.0003550118635757826,0.0006724202539771795,0.0015038330748211592,0.0025488197105005394,0.004302408697549267,0.012944788889800586,0.15178489885191304,0.03015486979909332,0.014906041773346526,0.01615468495486574,0.018823352799728122,0.02592487392095354,0.03877842798191074,0.050429426004574555,0.06229712486401317,100,100,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.182031936501388e-08,3.406720028983222e-06,9.305846515196921e-07,3.5286365759516646e-08,5.621497220632555e-08,9.541102271113131e-08,3.327747378874608e-07,6.385927671811196e-07,1.2797753825181689e-06,3.0630479162239067e-06,0.4607727149996208,0.6626219879981363,0.04718844675591945,0.46256690210011586,0.46962685329745,0.47814136975102883,0.4882757905015751,0.5018988714973602,0.5402095949979412,0.5894391607507714
90,9.5,0.0016731729341699975,0.03784283511997592,100.0,2.07848418983184e-06,0.5613182193501416,6.723349360981956e-05,0.0050197746604681015,0.0012784652286974912,0.00025132210612355266,0.0003232701332308352,0.0008108680776786059,0.0014795821043662727,0.0021040348801761866,0.003356041363440454,0.0035114385536871864,0.008199603259293682,0.07085036810397037,0.01593053222926651,0.015758022704960344,0.017969547216119746,0.02847411615318524,0.038462536157013213,0.04586787011816077,0.05793094178935307,0.0591970539762604,100,100,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.1915528288280422e-08,2.6169720322194727e-05,6.045419918430565e-06,4.8360834221562576e-08,5.725688228120256e-08,6.275653963758037e-08,1.8405379972072564e-07,4.939715650798094e-07,3.0365303497422926e-06,1.0277458363109177e-05,0.5188127440014796,0.7433016840004711,0.05254259619153495,0.5191577744979441,0.5246149183974922,0.5344938735015603,0.5464091915018798,0.5580022657495647,0.6013112375985658,0.6576976333521088
