iter,repetition,loss,mean_Euler_error,optimal_N,var_loss,time,min_loss,max_loss,std_loss,P5_loss,P10_loss,P25_loss,P50_loss,P75_loss,P90_loss,P95_loss,min_mean_Euler_error,max_mean_Euler_error,std_mean_Euler_error,P5_mean_Euler_error,P10_mean_Euler_error,P25_mean_Euler_error,P50_mean_Euler_error,P75_mean_Euler_error,P90_mean_Euler_error,P95_mean_Euler_error,min_optimal_N,max_optimal_N,std_optimal_N,P5_optimal_N,P10_optimal_N,P25_optimal_N,P50_optimal_N,P75_optimal_N,P90_optimal_N,P95_optimal_N,min_var_loss,max_var_loss,std_var_loss,P5_var_loss,P10_var_loss,P25_var_loss,P50_var_loss,P75_var_loss,P90_var_loss,P95_var_loss,min_time,max_time,std_time,P5_time,P10_time,P25_time,P50_time,P75_time,P90_time,P95_time
0,9.5,0.2247208643704653,0.45260291713985384,100.0,0.0037828308066936455,0.005953449400658428,0.06363600492477417,0.44452667236328125,0.12903887258420318,0.06831787414848804,0.07066895738244057,0.10405800305306911,0.23096808791160583,0.3423207998275757,0.3611160337924958,0.3990487188100815,0.2522617785649942,0.6667283347535795,0.14462824855819276,0.26136853149611966,0.2658330166692586,0.3213526262295952,0.47786808998218155,0.5850812579219212,0.6008518008643757,0.6316517733284334,100,100,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0008788365065449417,0.010102888165098248,0.002167990446021343,0.0013959742941037573,0.0015168295388269908,0.002622025422375612,0.0030905943205862332,0.004538157010319257,0.006135261342983055,0.007111359182030266,0.003990296001575189,0.010196873998211231,0.001741851536704225,0.004144592151533288,0.004457489900596556,0.004800536751645268,0.005407294500400894,0.006151071497697558,0.009110383002189337,0.009172402551484993
10,9.5,0.083530263020657,0.2675837265383797,100.0,0.0010741755191725915,0.055745341300280415,0.003937580622732639,0.24650514125823975,0.061582759861524214,0.004110803105868399,0.019781426945701244,0.04571881052106619,0.07415836304426193,0.10833924077451229,0.1691857933998108,0.17685433924198155,0.06275014440407799,0.49649284109465236,0.11205831335557138,0.06411478061771798,0.13845082100060394,0.2133548815758082,0.27219653343291333,0.32906241993406143,0.4113188424261873,0.4201759137993877,100,100,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0003845999939273102,0.0024472336817269375,0.0005649135427650723,0.0004604003381247472,0.0006266615463025643,0.000709849258865973,0.0008956013785468208,0.0012708396863455726,0.0019505529307355788,0.0022976063140715012,0.05119087899947772,0.06998052299968549,0.004633214084269316,0.05128773150081543,0.051532610599315375,0.05206483550136909,0.05489072399905126,0.05734477275109384,0.06027503039804288,0.06251600819960004
20,9.5,0.083104610722512,0.27898399491450737,100.0,0.0007988958762149619,0.10240440765046514,0.028419066220521927,0.19949963688850403,0.044463884551099404,0.030306925904005765,0.03745207283645868,0.05218332540243864,0.07642937824130058,0.10756824165582657,0.14220058172941208,0.14804241433739665,0.1685795545744558,0.4466538222029495,0.07449861393309076,0.1740842642828521,0.19342120388562947,0.22837242851979803,0.27638493994505675,0.3279544541891195,0.37709240533557725,0.3844984830733351,100,100,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.00010130528247717654,0.0027571830364188765,0.0006697070080843592,0.00011351964871088664,0.00024146221984516493,0.00041937787123400754,0.0006584210106820771,0.0009003287373167096,0.0014237558576795804,0.0023129024505615238,0.09389062999980524,0.1282779369976197,0.008008353284244192,0.09553567089988065,0.0958069536012772,0.09662805275183928,0.10026145250049012,0.1044841617494967,0.11091502770177614,0.11430231694830582
30,9.5,0.05017011869931594,0.20764664852630316,100.0,0.00038494429993208006,0.14911254700018617,0.0030174527782946825,0.15128660202026367,0.03881343230934341,0.007011156447697431,0.009979746025055648,0.029695015400648117,0.038131652399897575,0.06272636912763119,0.0976855739951134,0.11929849460721019,0.054931346044810175,0.3889557841455294,0.086163785622193,0.08347617536733372,0.09977682038178969,0.17212091432260512,0.19525846183512324,0.2497666522257775,0.3123807628879278,0.34525057661230646,100,100,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.953411734465397e-05,0.0011560451623165247,0.0002894519323963344,3.812197731299834e-05,9.021874630089963e-05,0.0001976812518004215,0.0003873787624667389,0.0004506590029205939,0.0007298722507977727,0.0008444308849296187,0.13732614599939552,0.17877986199891893,0.009787414811583241,0.1393987144509083,0.1406933103025949,0.1426081407480524,0.14660262300094473,0.15588675099934335,0.15901814220087546,0.160968472552122
40,9.5,0.05603923797607422,0.22523842184436343,100.0,0.0002446193258569698,0.19628960370027926,0.005137436091899872,0.13055644929409027,0.03312519369181943,0.014795223344117404,0.018306383304297923,0.030307100154459476,0.05505243130028248,0.0774103831499815,0.10141295194625854,0.10671062096953393,0.07167591012257794,0.3613259598950652,0.07474089489439886,0.12110585285089413,0.13524640141009084,0.17333483710194045,0.234632505074846,0.27821348554390196,0.3184470959680502,0.3265685809353953,100,100,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.7813556218388103e-05,0.00157495652786409,0.00035504757692917754,3.2678236714517225e-05,3.4867890555449205e-05,4.3336913140133175e-05,0.00011951114192153468,0.00026465344910669807,0.0005656752538199377,0.000628357506761648,0.1805360969992762,0.22860279399901628,0.011511971636219935,0.1825556032024906,0.18397793599942816,0.18944862250100414,0.19405143100084388,0.20397325600060867,0.20771373020106695,0.21342102165144752
50,9.5,0.04848905904218555,0.21374928693732898,100.0,8.181487490432431e-05,0.24866144285024347,0.012955065816640854,0.12165018171072006,0.02511612476498291,0.019579242635518312,0.02599861603230238,0.03390250634402037,0.0449354350566864,0.05344124045222998,0.07932020351290703,0.08514606505632404,0.11382032251158337,0.3487838610238726,0.05429259303914939,0.13979886405944156,0.16110384260959967,0.18388878892839827,0.21197726731606514,0.23093735475034763,0.281629149452986,0.2915019197621578,100,100,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,6.940825418992476e-06,0.000286009552502873,6.367019252827458e-05,1.2192672476021931e-05,2.0858127661425657e-05,3.1250012342375935e-05,7.610877957006898e-05,0.00010576743971217763,0.00013917365700307518,0.0001506855000149121,0.22938625700044213,0.2915109819987265,0.015667886058100627,0.23226497075193037,0.2325679133020458,0.23865057900184183,0.24377284799993504,0.25723306149848213,0.2680649976005952,0.2699040822511961
60,9.5,0.044047566573135556,0.20207407328367907,100.0,9.300135271717803e-05,0.29702457960011086,0.005817796569317579,0.09659029543399811,0.02260245608404802,0.012110135308466852,0.016119692474603653,0.025465606711804867,0.04634487256407738,0.0588067127391696,0.06640274673700333,0.07269368208944799,0.07627448177023283,0.31078979300163334,0.05816162127326391,0.10977731786486922,0.12686061043460542,0.15957071007986254,0.2152778627861795,0.24248733995799718,0.25766740260101195,0.26945081068926,100,100,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.1873311466640897e-05,0.00025202866756554804,8.10927665309429e-05,1.6792711735975865e-05,2.196766962908735e-05,2.9220129504348293e-05,5.8627583161749026e-05,0.0001444638226971482,0.00023131076976506398,0.00024030190043979223,0.2783352520018525,0.3560737519983377,0.019477242861523896,0.2792119243520574,0.27971231210103725,0.2841899034983726,0.2924052065009164,0.3029259042486956,0.3164060173006874,0.32823627914713144
70,9.5,0.03723097438924015,0.17410608349090334,100.0,6.465425823975091e-05,0.34492522775035467,0.0025752373039722443,0.12281204015016556,0.0358621553832629,0.003303468832746148,0.005493552889674902,0.01610314496792853,0.025514919310808182,0.04481630492955446,0.10157747939229014,0.11916518732905389,0.050746795997109455,0.3504454881292746,0.08533553637938042,0.057455202278016065,0.07392358871211542,0.12657779375974143,0.15972834512861567,0.2116977501126139,0.3185913182081418,0.3452010135023476,100,100,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.546010977090007e-05,0.00023352331585354275,5.506964024222773e-05,1.6086811895924383e-05,2.1890904867287838e-05,2.9367468874863904e-05,4.193457088085136e-05,7.718869381480747e-05,0.00010706651451611771,0.00017917676044232922,0.3233287750008458,0.41266019699833123,0.022812983851159756,0.3236528133511456,0.3269910354014428,0.32833946149912663,0.3380723720001697,0.3545323547505177,0.36545600010103957,0.3908781172474846
80,9.5,0.03756672909948975,0.1840313429887938,100.0,6.402648774662404e-05,0.39269371820028026,0.002164423931390047,0.09393657743930817,0.021745778998713727,0.006552135082893074,0.007164527662098408,0.027301061898469925,0.03691132925450802,0.049668324179947376,0.0621802881360054,0.06423695273697379,0.046523369733823525,0.3064907460908211,0.06240102813956187,0.0805675781877401,0.08464011866183468,0.16447909200935104,0.1920283687015918,0.22286309649688832,0.24935953903702207,0.2531545557457756,100,100,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.2310485948215831e-05,0.00012081949397771046,3.1421785509664356e-05,1.3812022377746274e-05,2.4548007532803702e-05,4.5690325775531807e-05,6.543488213510225e-05,8.057701617780359e-05,0.00010882818458056211,0.00011608885032962069,0.3666731310004252,0.4588568459985254,0.025601197993883176,0.366818628247529,0.3714955363993795,0.3764635965007983,0.3846572800011927,0.4024812390007355,0.4149461888009683,0.456563102349719
90,9.5,0.03835198709275574,0.18350476524236853,100.0,7.208171998611605e-05,0.43879376295026307,0.005303233861923218,0.115563303232193,0.02712338562248674,0.005587321193888784,0.00675115673802793,0.01729242829605937,0.037019768729805946,0.04671164229512215,0.07254581153392792,0.07695506587624552,0.0728233057607468,0.33994602988149897,0.07017263093782178,0.07474708294439694,0.082129568549504,0.13140668313371212,0.1923438157077517,0.21612861081388185,0.2693393371765933,0.27703202163525936,100,100,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3.0014081434770064e-05,0.00016787342350892346,3.0686398031105644e-05,3.8426604535844596e-05,4.1870115983365765e-05,5.415529915780732e-05,6.509794129265679e-05,8.110456996493869e-05,0.00010430932406223182,0.0001111138902529322,0.41107013700093376,0.5198311949970957,0.028611569303406133,0.41154702370095037,0.4159607695983141,0.4223666627503917,0.4307436114995653,0.4467428617508631,0.4607574463007041,0.5071773270487029
